--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
0,2022-01-02-01:44:02,-1,7,2.787382
1,2022-01-02-01:44:05,7,5,2.797396
2,2022-01-02-01:44:08,5,6,3.097904
3,2022-01-02-01:44:11,6,7,2.644894
4,2022-01-02-01:44:14,7,2,2.734150
5,2022-01-02-01:44:15,2,5,1.487057
6,2022-01-02-01:44:18,5,7,2.607647
7,2022-01-02-01:44:20,7,6,2.640236
8,2022-01-02-01:44:24,6,4,3.446519
9,2022-01-02-01:44:25,4,1,1.330683
10,2022-01-02-01:44:27,1,3,2.231096
11,2022-01-02-01:44:31,3,7,3.313654
12,2022-01-02-01:44:34,7,0,3.109657
13,2022-01-02-01:44:35,0,2,1.725448
14,2022-01-02-01:44:38,2,7,2.612637
15,2022-01-02-01:44:41,7,3,3.283025
16,2022-01-02-01:44:44,3,1,2.358317
17,2022-01-02-01:44:46,1,2,2.000096
18,2022-01-02-01:44:48,2,7,2.539406
19,2022-01-02-01:44:51,7,2,3.057662
20,2022-01-02-01:44:54,2,3,2.666407
21,2022-01-02-01:44:57,3,5,3.136834
22,2022-01-02-01:45:00,5,6,3.103565
23,2022-01-02-01:45:04,6,3,3.816787
24,2022-01-02-01:45:07,3,0,2.464270
25,2022-01-02-01:45:08,0,4,1.480033
26,2022-01-02-01:45:10,4,0,1.531503
27,2022-01-02-01:45:11,0,1,1.066027
28,2022-01-02-01:45:13,1,5,2.009924
29,2022-01-02-01:45:14,5,2,1.595294
30,2022-01-02-01:45:16,2,5,1.519465
31,2022-01-02-01:45:18,5,1,2.000382
32,2022-01-02-01:45:19,1,0,1.061818
33,2022-01-02-01:45:21,0,5,2.103644
34,2022-01-02-01:45:24,5,6,3.285429
35,2022-01-02-01:45:28,6,1,3.677647
36,2022-01-02-01:45:29,1,0,1.082117
37,2022-01-02-01:45:31,0,5,1.885989
38,2022-01-02-01:45:34,5,2,3.569299
39,2022-01-02-01:45:38,2,1,4.101400
40,2022-01-02-01:45:41,1,5,2.061490
41,2022-01-02-01:45:44,5,4,3.364158
42,2022-01-02-01:45:46,4,3,2.164669
43,2022-01-02-01:45:50,3,1,3.717350
44,2022-01-02-01:45:52,1,5,1.996576
45,2022-01-02-01:45:54,5,4,1.937125
46,2022-01-02-01:45:56,4,3,2.084790
47,2022-01-02-01:45:58,3,1,2.362038
48,2022-01-02-01:46:00,1,7,1.658386
49,2022-01-02-01:46:02,7,6,2.623891
50,2022-01-02-01:46:05,6,5,2.713600
51,2022-01-02-01:46:08,5,7,2.644189
52,2022-01-02-01:46:11,7,4,3.382140
53,2022-01-02-01:46:13,4,2,1.850025
54,2022-01-02-01:46:15,2,0,1.744684
55,2022-01-02-01:46:16,0,4,1.545675
56,2022-01-02-01:46:18,4,3,2.094612
57,2022-01-02-01:46:22,3,7,3.417495
58,2022-01-02-01:46:24,7,6,2.566155
59,2022-01-02-01:46:28,6,0,3.473443
60,2022-01-02-01:46:30,0,7,1.923290
61,2022-01-02-01:46:32,7,0,1.939978
62,2022-01-02-01:46:34,0,5,2.023150
63,2022-01-02-01:46:35,5,2,1.611484
64,2022-01-02-01:46:37,2,5,1.521673
65,2022-01-02-01:46:39,5,7,2.558206
66,2022-01-02-01:46:43,7,4,3.593307
67,2022-01-02-01:46:47,4,6,3.434952
68,2022-01-02-01:46:50,6,0,3.501092
69,2022-01-02-01:46:52,0,5,1.937838
70,2022-01-02-01:46:54,5,0,1.878019
71,2022-01-02-01:46:56,0,3,2.325024
72,2022-01-02-01:46:59,3,2,2.631202
73,2022-01-02-01:47:01,2,0,1.752085
74,2022-01-02-01:47:02,0,5,1.895008
75,2022-01-02-01:47:04,5,0,2.009042
76,2022-01-02-01:47:06,0,2,1.729941
77,2022-01-02-01:47:08,2,0,1.726157
78,2022-01-02-01:47:10,0,5,1.936067
79,2022-01-02-01:47:12,5,2,1.665648
80,2022-01-02-01:47:13,2,0,1.689269
81,2022-01-02-01:47:14,0,1,1.071897
82,2022-01-02-01:47:16,1,4,1.342932
83,2022-01-02-01:47:17,4,0,1.533571
84,2022-01-02-01:47:19,0,5,1.933766
85,2022-01-02-01:47:22,5,4,3.404995
86,2022-01-02-01:47:26,4,1,3.772226
87,2022-01-02-01:47:28,1,2,2.021607
88,2022-01-02-01:47:30,2,1,1.939475
89,2022-01-02-01:47:32,1,2,1.942261
90,2022-01-02-01:47:35,2,3,2.670419
91,2022-01-02-01:47:37,3,1,2.265688
92,2022-01-02-01:47:39,1,2,1.942333
93,2022-01-02-01:47:41,2,4,1.795600
94,2022-01-02-01:47:43,4,7,1.906983
95,2022-01-02-01:47:46,7,5,2.773179
96,2022-01-02-01:47:48,5,3,2.229780
97,2022-01-02-01:47:50,3,0,2.370876
98,2022-01-02-01:47:51,0,1,1.058904
99,2022-01-02-01:47:53,1,5,2.061689
100,2022-01-02-01:47:55,5,3,2.235688
101,2022-01-02-01:47:57,3,6,2.002560
102,2022-01-02-01:48:01,6,7,3.306504
103,2022-01-02-01:48:03,7,2,2.676459
104,2022-01-02-01:48:05,2,5,1.580214
105,2022-01-02-01:48:07,5,0,2.131896
106,2022-01-02-01:48:09,0,2,1.778153
107,2022-01-02-01:48:12,2,7,2.740328
108,2022-01-02-01:48:15,7,2,3.023517
109,2022-01-02-01:48:19,2,7,4.335311
110,2022-01-02-01:48:23,7,3,3.793654
111,2022-01-02-01:48:26,3,6,3.202931
112,2022-01-02-01:48:30,6,3,3.988252
113,2022-01-02-01:48:32,3,0,2.331546
114,2022-01-02-01:48:34,0,4,1.558720
115,2022-01-02-01:48:35,4,1,1.347903
116,2022-01-02-01:48:37,1,7,1.641384
117,2022-01-02-01:48:40,7,5,2.684713
118,2022-01-02-01:48:41,5,4,1.892983
119,2022-01-02-01:48:43,4,7,1.887648
120,2022-01-02-01:48:45,7,4,1.883786
121,2022-01-02-01:48:47,4,7,1.860306
122,2022-01-02-01:48:50,7,5,2.683342
123,2022-01-02-01:48:52,5,1,1.999267
124,2022-01-02-01:48:54,1,2,2.004107
125,2022-01-02-01:48:57,2,6,3.064801
126,2022-01-02-01:49:00,6,0,3.431018
127,2022-01-02-01:49:02,0,7,1.959021
128,2022-01-02-01:49:04,7,0,2.053742
129,2022-01-02-01:49:06,0,5,1.953534
130,2022-01-02-01:49:08,5,4,1.848184
131,2022-01-02-01:49:10,4,3,2.102994
132,2022-01-02-01:49:14,3,4,3.830470
133,2022-01-02-01:49:17,4,2,3.316714
134,2022-01-02-01:49:19,2,0,1.721595
135,2022-01-02-01:49:21,0,5,1.957516
136,2022-01-02-01:49:24,5,7,2.562937
137,2022-01-02-01:49:27,7,3,3.247525
138,2022-01-02-01:49:29,3,6,2.005616
139,2022-01-02-01:49:31,6,3,1.951161
140,2022-01-02-01:49:35,3,2,4.256302
141,2022-01-02-01:49:38,2,6,3.134155
142,2022-01-02-01:49:41,6,7,2.581268
143,2022-01-02-01:49:44,7,0,3.078161
144,2022-01-02-01:49:47,0,6,3.458715
145,2022-01-02-01:49:51,6,2,3.185493
146,2022-01-02-01:49:54,2,6,3.132897
147,2022-01-02-01:49:57,6,2,3.154383
148,2022-01-02-01:49:59,2,7,2.555493
149,2022-01-02-01:50:02,7,2,3.048160
150,2022-01-02-01:50:07,2,1,4.416925
151,2022-01-02-01:50:08,1,0,1.074887
152,2022-01-02-01:50:09,0,1,1.086777
153,2022-01-02-01:50:10,1,0,1.028072
154,2022-01-02-01:50:13,0,6,2.871256
155,2022-01-02-01:50:16,6,0,2.955638
156,2022-01-02-01:50:17,0,1,1.110354
157,2022-01-02-01:50:21,1,6,3.644592
158,2022-01-02-01:50:24,6,0,3.630825
159,2022-01-02-01:50:26,0,5,1.938698
160,2022-01-02-01:50:28,5,2,1.528310
161,2022-01-02-01:50:30,2,1,1.996917
162,2022-01-02-01:50:31,1,4,1.295041
163,2022-01-02-01:50:32,4,1,1.370834
164,2022-01-02-01:50:35,1,3,2.339780
165,2022-01-02-01:50:37,3,4,2.057340
166,2022-01-02-01:50:39,4,5,1.755454
167,2022-01-02-01:50:40,5,2,1.554460
168,2022-01-02-01:50:42,2,4,1.750368
169,2022-01-02-01:50:44,4,5,1.742250
170,2022-01-02-01:50:45,5,2,1.548317
171,2022-01-02-01:50:48,2,6,3.161832
172,2022-01-02-01:50:52,6,0,3.566855
173,2022-01-02-01:50:54,0,3,2.426443
174,2022-01-02-01:50:59,3,2,4.232077
175,2022-01-02-01:51:03,2,1,4.092533
176,2022-01-02-01:51:05,1,5,2.182392
177,2022-01-02-01:51:08,5,6,3.164170
178,2022-01-02-01:51:12,6,3,3.756886
179,2022-01-02-01:51:14,3,2,2.673695
180,2022-01-02-01:51:17,2,7,2.526762
181,2022-01-02-01:51:20,7,5,2.631184
182,2022-01-02-01:51:22,5,4,1.993090
183,2022-01-02-01:51:23,4,5,1.797397
184,2022-01-02-01:51:25,5,4,1.916581
185,2022-01-02-01:51:29,4,6,3.421981
186,2022-01-02-01:51:32,6,5,3.226526
187,2022-01-02-01:51:34,5,4,1.919564
188,2022-01-02-01:51:36,4,2,1.881940
189,2022-01-02-01:51:38,2,1,2.012418
