--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,time,init_position,final_position,time
0,2021-12-20,05:28:53,-1,3,3.361967
1,2021-12-20,05:28:57,3,1,3.813861
2,2021-12-20,05:28:58,1,6,1.841193
3,2021-12-20,05:29:01,6,2,2.937416
4,2021-12-20,05:29:05,2,3,3.141329
5,2021-12-20,05:29:08,3,5,3.430075
6,2021-12-20,05:29:12,5,4,4.040464
7,2021-12-20,05:29:16,4,7,3.862252
8,2021-12-20,05:29:19,7,3,3.128479
9,2021-12-20,05:29:21,3,4,2.447356
10,2021-12-20,05:29:25,4,1,4.048496
11,2021-12-20,05:29:29,1,7,3.130813
12,2021-12-20,05:29:32,7,2,3.500116
13,2021-12-20,05:29:35,2,3,3.131622
14,2021-12-20,05:29:39,3,5,3.441847
15,2021-12-20,05:29:43,5,1,3.845835
16,2021-12-20,05:29:46,1,5,3.843791
17,2021-12-20,05:29:51,5,6,4.210614
18,2021-12-20,05:29:53,6,2,2.887684
19,2021-12-20,05:29:57,2,7,3.456232
20,2021-12-20,05:30:01,7,4,3.884965
21,2021-12-20,05:30:05,4,6,4.240628
22,2021-12-20,05:30:09,6,3,4.100616
23,2021-12-20,05:30:12,3,2,3.191516
24,2021-12-20,05:30:16,2,0,3.636822
25,2021-12-20,05:30:18,0,1,2.264865
26,2021-12-20,05:30:21,1,7,3.133687
27,2021-12-20,05:30:25,7,4,3.866550
28,2021-12-20,05:30:28,4,3,2.387813
29,2021-12-20,05:30:31,3,7,3.134255
30,2021-12-20,05:30:35,7,4,3.857276
31,2021-12-20,05:30:39,4,7,3.874835
32,2021-12-20,05:30:42,7,2,3.495800
33,2021-12-20,05:30:45,2,1,3.334242
34,2021-12-20,05:30:48,1,7,3.138390
35,2021-12-20,05:30:52,7,1,3.126999
36,2021-12-20,05:30:53,1,6,1.830477
37,2021-12-20,05:30:58,6,4,4.236767
38,2021-12-20,05:31:02,4,7,3.912433
39,2021-12-20,05:31:04,7,5,2.636455
40,2021-12-20,05:31:09,5,0,4.360871
41,2021-12-20,05:31:13,0,3,4.450101
42,2021-12-20,05:31:17,3,6,4.104002
43,2021-12-20,05:31:19,6,0,2.224994
44,2021-12-20,05:31:24,0,3,4.462438
45,2021-12-20,05:31:28,3,0,4.438251
46,2021-12-20,05:31:32,0,2,3.650246
47,2021-12-20,05:31:36,2,0,3.637329
48,2021-12-20,05:31:39,0,2,3.628877
49,2021-12-20,05:31:43,2,4,3.329935
50,2021-12-20,05:31:47,4,1,4.050742
51,2021-12-20,05:31:48,1,6,1.830047
52,2021-12-20,05:31:51,6,0,2.197183
53,2021-12-20,05:31:53,0,1,2.311346
54,2021-12-20,05:31:56,1,2,3.360858
55,2021-12-20,05:31:59,2,3,3.153187
56,2021-12-20,05:32:03,3,6,4.041218
57,2021-12-20,05:32:06,6,2,2.931793
58,2021-12-20,05:32:10,2,5,3.894944
59,2021-12-20,05:32:13,5,7,2.625363
60,2021-12-20,05:32:16,7,1,3.130743
61,2021-12-20,05:32:18,1,6,1.830639
62,2021-12-20,05:32:22,6,4,4.235769
63,2021-12-20,05:32:26,4,5,4.006824
64,2021-12-20,05:32:30,5,4,4.017093
65,2021-12-20,05:32:33,4,3,2.451832
66,2021-12-20,05:32:37,3,0,4.428122
67,2021-12-20,05:32:39,0,1,2.332900
68,2021-12-20,05:32:43,1,4,4.012594
69,2021-12-20,05:32:48,4,6,4.253453
70,2021-12-20,05:32:50,6,0,2.247704
71,2021-12-20,05:32:52,0,6,2.240154
72,2021-12-20,05:32:54,6,1,1.822221
73,2021-12-20,05:32:56,1,0,2.255059
74,2021-12-20,05:33:00,0,2,3.639971
75,2021-12-20,05:33:03,2,4,3.335808
76,2021-12-20,05:33:08,4,0,4.710065
77,2021-12-20,05:33:10,0,1,2.282727
78,2021-12-20,05:33:14,1,3,3.801654
79,2021-12-20,05:33:18,3,6,4.064997
80,2021-12-20,05:33:22,6,3,4.128061
81,2021-12-20,05:33:25,3,2,3.124706
82,2021-12-20,05:33:29,2,0,3.643078
83,2021-12-20,05:33:33,0,7,3.806822
84,2021-12-20,05:33:35,7,5,2.631722
85,2021-12-20,05:33:39,5,3,3.417200
86,2021-12-20,05:33:42,3,2,3.148170
87,2021-12-20,05:33:46,2,5,3.906768
88,2021-12-20,05:33:50,5,2,3.878047
89,2021-12-20,05:33:53,2,6,2.938442
90,2021-12-20,05:33:57,6,5,4.252969
91,2021-12-20,05:34:01,5,1,3.833457
92,2021-12-20,05:34:03,1,6,1.824233
93,2021-12-20,05:34:07,6,5,4.250614
94,2021-12-20,05:34:11,5,1,3.837786
95,2021-12-20,05:34:14,1,2,3.339853
