--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,time,init_position,final_position,time
0,2021-12-20,05:28:52,-1,7,2.973801
1,2021-12-20,05:28:56,7,3,3.111559
2,2021-12-20,05:29:00,3,6,4.072023
3,2021-12-20,05:29:01,6,1,1.800142
4,2021-12-20,05:29:05,1,3,3.794410
5,2021-12-20,05:29:08,3,2,3.128787
6,2021-12-20,05:29:12,2,4,3.326885
7,2021-12-20,05:29:16,4,0,4.673217
8,2021-12-20,05:29:21,0,3,4.417921
9,2021-12-20,05:29:24,3,2,3.125879
10,2021-12-20,05:29:28,2,0,3.631063
11,2021-12-20,05:29:30,0,6,2.218441
12,2021-12-20,05:29:33,6,7,3.430070
13,2021-12-20,05:29:36,7,1,3.158903
14,2021-12-20,05:29:40,1,5,3.865163
15,2021-12-20,05:29:44,5,4,4.029087
16,2021-12-20,05:29:47,4,3,2.455081
17,2021-12-20,05:29:49,3,4,2.459468
18,2021-12-20,05:29:53,4,5,4.006636
19,2021-12-20,05:29:57,5,2,3.863026
20,2021-12-20,05:30:00,2,4,3.351194
21,2021-12-20,05:30:04,4,7,3.861376
22,2021-12-20,05:30:08,7,6,3.449728
23,2021-12-20,05:30:12,6,3,4.040760
24,2021-12-20,05:30:15,3,7,3.125613
25,2021-12-20,05:30:18,7,1,3.121113
26,2021-12-20,05:30:22,1,3,3.746601
27,2021-12-20,05:30:26,3,1,3.782894
28,2021-12-20,05:30:29,1,3,3.767664
29,2021-12-20,05:30:33,3,6,4.078259
30,2021-12-20,05:30:37,6,3,4.099421
31,2021-12-20,05:30:41,3,2,3.133298
32,2021-12-20,05:30:44,2,1,3.324358
33,2021-12-20,05:30:46,1,6,1.828475
34,2021-12-20,05:30:49,6,7,3.429848
35,2021-12-20,05:30:53,7,0,3.778749
36,2021-12-20,05:30:57,0,2,3.610952
37,2021-12-20,05:31:00,2,1,3.348455
38,2021-12-20,05:31:04,1,3,3.777118
39,2021-12-20,05:31:07,3,1,3.776135
40,2021-12-20,05:31:11,1,3,3.832537
41,2021-12-20,05:31:15,3,5,3.435148
42,2021-12-20,05:31:19,5,4,4.004814
43,2021-12-20,05:31:23,4,0,4.649560
44,2021-12-20,05:31:27,0,7,3.748014
45,2021-12-20,05:31:30,7,3,3.139756
