iteration,date,executiontime
1,2022-02-15-09:52:44,2.655061
2,2022-02-15-09:52:46,2.226575
3,2022-02-15-09:52:48,1.749405
4,2022-02-15-09:52:51,3.451788
5,2022-02-15-09:52:55,3.792975
6,2022-02-15-09:52:57,2.025948
7,2022-02-15-09:53:00,2.555988
8,2022-02-15-09:53:02,2.587769
9,2022-02-15-09:53:05,2.388887
10,2022-02-15-09:53:07,1.883045
11,2022-02-15-09:53:09,2.220948
12,2022-02-15-09:53:10,1.599144
13,2022-02-15-09:53:14,3.535283
14,2022-02-15-09:53:18,3.539417
15,2022-02-15-09:53:19,1.642022
16,2022-02-15-09:53:21,2.259406
17,2022-02-15-09:53:24,2.192145
18,2022-02-15-09:53:26,2.355563
19,2022-02-15-09:53:27,1.020945
20,2022-02-15-09:53:29,1.618819
21,2022-02-15-09:53:30,1.703903
22,2022-02-15-09:53:32,1.998054
23,2022-02-15-09:53:35,2.222739
24,2022-02-15-09:53:38,3.679791
25,2022-02-15-09:53:42,3.509538
26,2022-02-15-09:53:46,3.557800
27,2022-02-15-09:53:49,3.448636
28,2022-02-15-09:53:50,1.022289
29,2022-02-15-09:53:54,3.548726
30,2022-02-15-09:53:57,3.515785
31,2022-02-15-09:53:59,1.320159
32,2022-02-15-09:54:00,1.753543
33,2022-02-15-09:54:02,1.852417
34,2022-02-15-09:54:06,3.449057
35,2022-02-15-09:54:09,3.099676
36,2022-02-15-09:54:11,1.850832
37,2022-02-15-09:54:13,1.866019
38,2022-02-15-09:54:14,1.881344
39,2022-02-15-09:54:16,1.520724
40,2022-02-15-09:54:18,1.733885
41,2022-02-15-09:54:20,2.223150
42,2022-02-15-09:54:22,2.119911
43,2022-02-15-09:54:24,1.653792
44,2022-02-15-09:54:25,1.322279
45,2022-02-15-09:54:26,1.489355
46,2022-02-15-09:54:28,1.785447
47,2022-02-15-09:54:30,1.628152
48,2022-02-15-09:54:32,1.658380
49,2022-02-15-09:54:33,1.857070
50,2022-02-15-09:54:35,1.516842
51,2022-02-15-09:54:37,1.723374
52,2022-02-15-09:54:38,1.527045
53,2022-02-15-09:54:40,1.784124
54,2022-02-15-09:54:42,1.727611
55,2022-02-15-09:54:43,1.726147
56,2022-02-15-09:54:45,1.927251
57,2022-02-15-09:54:47,1.704642
58,2022-02-15-09:54:48,1.321215
59,2022-02-15-09:54:50,1.517219
60,2022-02-15-09:54:52,1.854163
61,2022-02-15-09:54:55,3.099548
62,2022-02-15-09:54:58,3.089903
63,2022-02-15-09:55:00,2.549905
64,2022-02-15-09:55:03,2.589370
65,2022-02-15-09:55:05,1.723355
66,2022-02-15-09:55:06,1.612105
67,2022-02-15-09:55:10,3.465139
68,2022-02-15-09:55:13,3.063726
