date,init_position,final_position,time
1,2022-01-26-16:37:09,-1,7,6.101339
2,2022-01-26-16:37:12,7,3,2.902684
3,2022-01-26-16:37:14,3,6,2.521204
4,2022-01-26-16:37:18,6,1,3.253190
5,2022-01-26-16:37:21,1,3,3.255724
6,2022-01-26-16:37:26,3,2,5.174867
7,2022-01-26-16:37:28,2,4,2.348627
8,2022-01-26-16:37:33,4,0,4.993680
9,2022-01-26-16:37:37,0,3,3.762281
10,2022-01-26-16:37:45,3,2,7.680660
11,2022-01-26-16:37:50,2,0,5.320646
12,2022-01-26-16:37:54,0,6,4.120585
13,2022-01-26-16:37:59,6,7,4.896567
14,2022-01-26-16:38:01,7,1,2.206951
15,2022-01-26-16:38:05,1,5,3.393488
16,2022-01-26-16:38:10,5,4,5.330424
17,2022-01-26-16:38:13,4,3,2.734126
18,2022-01-26-16:38:19,3,4,6.100161
19,2022-01-26-16:38:23,4,5,3.826134
20,2022-01-26-16:38:26,5,2,2.960268
21,2022-01-26-16:38:29,2,4,3.087640
22,2022-01-26-16:38:32,4,7,2.879706
23,2022-01-26-16:38:37,7,6,4.894489
24,2022-01-26-16:38:41,6,3,4.738979
25,2022-01-26-16:38:44,3,7,2.664637
26,2022-01-26-16:38:46,7,1,2.156048
27,2022-01-26-16:38:49,1,3,3.271031
28,2022-01-26-16:38:54,3,1,4.330665
29,2022-01-26-16:38:57,1,3,3.472425
30,2022-01-26-16:39:00,3,6,2.700485
31,2022-01-26-16:39:03,6,3,2.604231
32,2022-01-26-16:39:08,3,2,5.196854
33,2022-01-26-16:39:14,2,1,6.328795
34,2022-01-26-16:39:17,1,6,3.038002
35,2022-01-26-16:39:22,6,7,5.060088
36,2022-01-26-16:39:26,7,0,3.784909
37,2022-01-26-16:39:28,0,2,2.274403
38,2022-01-26-16:39:31,2,1,2.815306
39,2022-01-26-16:39:34,1,3,3.037281
40,2022-01-26-16:39:38,3,1,3.901243
41,2022-01-26-16:39:42,1,3,4.030883
42,2022-01-26-16:39:45,3,5,3.200939
43,2022-01-26-16:39:48,5,4,2.596299
44,2022-01-26-16:39:50,4,0,2.395034
45,2022-01-26-16:39:53,0,7,2.726057
46,2022-01-26-16:39:56,7,3,3.068065
47,2022-01-26-16:39:59,3,6,2.613374
48,2022-01-26-16:40:02,6,2,3.420012
49,2022-01-26-16:40:04,2,0,2.074202
50,2022-01-26-16:40:07,0,7,2.600748
51,2022-01-26-16:40:10,7,3,3.267273
52,2022-01-26-16:40:13,3,1,3.317897
53,2022-01-26-16:40:16,1,7,2.197741
54,2022-01-26-16:40:18,7,0,2.361560
55,2022-01-26-16:40:20,0,7,2.440104
56,2022-01-26-16:40:23,7,1,2.586559
57,2022-01-26-16:40:25,1,7,2.086115
58,2022-01-26-16:40:31,7,4,5.502484
59,2022-01-26-16:40:35,4,5,4.200966
60,2022-01-26-16:40:40,5,2,5.448094
61,2022-01-26-16:40:46,2,0,5.337025
62,2022-01-26-16:40:47,0,1,1.392762
63,2022-01-26-16:40:49,1,4,1.806195
64,2022-01-26-16:40:51,4,0,2.056754
65,2022-01-26-16:40:52,0,1,1.594731
66,2022-01-26-16:40:54,1,0,1.675096
67,2022-01-26-16:40:56,0,1,1.760606
68,2022-01-26-16:40:58,1,0,2.060524
69,2022-01-26-16:41:00,0,2,2.418629
70,2022-01-26-16:41:04,2,6,3.814805
71,2022-01-26-16:41:09,6,5,4.879986
72,2022-01-26-16:41:12,5,0,3.025660
73,2022-01-26-16:41:15,0,2,2.361985
74,2022-01-26-16:41:18,2,3,3.471910
75,2022-01-26-16:41:21,3,4,2.923872
76,2022-01-26-16:41:23,4,5,2.436763
77,2022-01-26-16:41:26,5,1,2.841716
78,2022-01-26-16:41:29,1,2,2.634388
79,2022-01-26-16:41:32,2,7,3.139036
80,2022-01-26-16:41:36,7,4,4.064306
81,2022-01-26-16:41:39,4,7,2.817139
82,2022-01-26-16:41:42,7,6,3.386678
83,2022-01-26-16:41:47,6,5,4.767229
84,2022-01-26-16:41:50,5,2,2.975186
85,2022-01-26-16:41:53,2,1,2.723053
86,2022-01-26-16:41:57,1,3,3.777685
87,2022-01-26-16:42:00,3,1,3.657928
88,2022-01-26-16:42:02,1,0,1.617062
89,2022-01-26-16:42:04,0,1,1.734592
90,2022-01-26-16:42:05,1,0,1.964228
91,2022-01-26-16:42:07,0,1,1.965809
92,2022-01-26-16:42:11,1,5,3.316024
93,2022-01-26-16:42:14,5,0,3.390861
94,2022-01-26-16:42:17,0,5,3.290475
95,2022-01-26-16:42:20,5,1,2.953061
96,2022-01-26-16:42:24,1,3,3.544569
97,2022-01-26-16:42:27,3,4,3.090271
98,2022-01-26-16:42:29,4,7,2.374702
99,2022-01-26-16:42:33,7,4,3.140858
100,2022-01-26-16:42:34,4,1,1.505181
101,2022-01-26-16:42:36,1,0,1.391974
102,2022-01-26-16:42:37,0,1,1.605991
103,2022-01-26-16:42:41,1,6,3.860847
104,2022-01-26-16:42:46,6,0,5.446551
105,2022-01-26-16:42:51,0,6,4.511050
106,2022-01-26-16:42:55,6,7,3.647227
107,2022-01-26-16:42:59,7,1,4.114704
108,2022-01-26-16:43:01,1,4,1.924035
109,2022-01-26-16:43:03,4,1,2.352283
110,2022-01-26-16:43:08,1,3,4.710929
111,2022-01-26-16:43:12,3,6,4.048705
112,2022-01-26-16:43:16,6,1,4.613443
113,2022-01-26-16:43:19,1,4,2.234461
114,2022-01-26-16:43:22,4,5,3.392332
115,2022-01-26-16:43:26,5,6,3.903027
116,2022-01-26-16:43:31,6,7,4.588647
117,2022-01-26-16:43:35,7,3,4.142378
118,2022-01-26-16:43:42,3,2,7.113714
119,2022-01-26-16:43:46,2,7,4.006234
120,2022-01-26-16:43:49,7,6,3.218367
121,2022-01-26-16:43:53,6,4,4.197951
122,2022-01-26-16:43:59,4,7,6.054483
123,2022-01-26-16:44:04,7,1,4.890503
124,2022-01-26-16:44:09,1,6,4.951827
125,2022-01-26-16:44:14,6,2,4.565263
126,2022-01-26-16:44:16,2,5,2.332055
127,2022-01-26-16:44:22,5,4,5.890394
128,2022-01-26-16:44:25,4,2,2.845952
129,2022-01-26-16:44:30,2,7,5.403120
130,2022-01-26-16:44:33,7,4,2.984482
131,2022-01-26-16:44:35,4,0,2.228594
132,2022-01-26-16:44:38,0,2,2.427660
133,2022-01-26-16:44:40,2,4,2.429366
134,2022-01-26-16:44:44,4,6,4.230073
135,2022-01-26-16:44:50,6,4,5.990033
136,2022-01-26-16:44:53,4,7,2.405928
137,2022-01-26-16:44:56,7,2,3.265009
138,2022-01-26-16:44:58,2,0,2.178346
139,2022-01-26-16:45:03,0,3,4.347659
140,2022-01-26-16:45:07,3,7,3.937070
141,2022-01-26-16:45:12,7,4,4.942309
142,2022-01-26-16:45:16,4,6,4.200225
143,2022-01-26-16:45:19,6,7,3.663927
144,2022-01-26-16:45:24,7,3,4.447817
145,2022-01-26-16:45:27,3,0,2.950513
146,2022-01-26-16:45:29,0,4,2.498772
147,2022-01-26-16:45:32,4,0,2.981746
148,2022-01-26-16:45:38,0,3,5.390561
149,2022-01-26-16:45:42,3,1,4.519952
150,2022-01-26-16:45:45,1,2,2.577310
151,2022-01-26-16:45:49,2,3,3.995661
152,2022-01-26-16:45:53,3,5,4.194402
153,2022-01-26-16:45:56,5,7,3.322921
154,2022-01-26-16:46:00,7,6,3.636974
155,2022-01-26-16:46:07,6,1,6.661000
156,2022-01-26-16:46:09,1,4,2.141080
157,2022-01-26-16:46:12,4,3,3.168962
158,2022-01-26-16:46:15,3,0,3.104949
159,2022-01-26-16:46:18,0,3,3.071290
160,2022-01-26-16:46:22,3,7,3.643210
161,2022-01-26-16:46:25,7,6,3.019985
162,2022-01-26-16:46:32,6,0,7.381662
163,2022-01-26-16:46:36,0,6,3.650070
164,2022-01-26-16:46:39,6,3,2.830554
165,2022-01-26-16:46:43,3,2,4.138408
166,2022-01-26-16:46:47,2,3,3.845682
167,2022-01-26-16:46:52,3,2,5.256800
168,2022-01-26-16:46:58,2,7,6.246920
169,2022-01-26-16:47:01,7,4,2.853432
170,2022-01-26-16:47:04,4,3,3.127425
171,2022-01-26-16:47:08,3,4,3.786049
172,2022-01-26-16:47:10,4,0,2.554187
173,2022-01-26-16:47:13,0,2,2.431571
174,2022-01-26-16:47:16,2,7,3.385910
175,2022-01-26-16:47:20,7,0,3.275040
176,2022-01-26-16:47:22,0,2,2.547384
177,2022-01-26-16:47:25,2,7,3.398825
178,2022-01-26-16:47:30,7,1,4.349707
179,2022-01-26-16:47:32,1,4,2.015486
180,2022-01-26-16:47:34,4,7,2.276869
181,2022-01-26-16:47:38,7,6,3.551319
182,2022-01-26-16:47:40,6,3,2.609863
183,2022-01-26-16:47:44,3,2,3.662239
184,2022-01-26-16:47:48,2,7,3.641634
185,2022-01-26-16:47:50,7,4,2.798031
186,2022-01-26-16:47:53,4,3,2.731582
187,2022-01-26-16:47:57,3,7,4.231669
188,2022-01-26-16:48:01,7,3,4.167124
189,2022-01-26-16:48:05,3,1,3.548208
190,2022-01-26-16:48:07,1,4,2.123883
191,2022-01-26-16:48:10,4,0,2.553917
192,2022-01-26-16:48:13,0,7,3.031830
193,2022-01-26-16:48:16,7,0,3.142830
194,2022-01-26-16:48:20,0,3,4.233895
195,2022-01-26-16:48:23,3,0,3.234150
196,2022-01-26-16:48:26,0,1,2.296781
197,2022-01-26-16:48:30,1,6,4.169607
198,2022-01-26-16:48:34,6,1,4.274462
199,2022-01-26-16:48:38,1,6,4.086896
200,2022-01-26-16:48:43,6,5,4.390549
201,2022-01-26-16:48:46,5,0,3.654392
202,2022-01-26-16:48:49,0,7,2.915794
203,2022-01-26-16:48:52,7,0,2.980196
204,2022-01-26-16:48:57,0,6,4.379572
205,2022-01-26-16:49:00,6,7,3.799302
206,2022-01-26-16:49:05,7,3,4.775921
207,2022-01-26-16:49:09,3,5,3.622567
208,2022-01-26-16:49:13,5,1,4.333162
209,2022-01-26-16:49:15,1,0,1.936701
210,2022-01-26-16:49:19,0,3,4.126294
211,2022-01-26-16:49:24,3,1,4.501444
212,2022-01-26-16:49:27,1,5,3.639943
213,2022-01-26-16:49:30,5,2,2.370000
214,2022-01-26-16:49:34,2,7,4.036878
215,2022-01-26-16:49:38,7,0,4.078947
216,2022-01-26-16:49:40,0,4,1.936308
217,2022-01-26-16:49:43,4,3,3.035644
218,2022-01-26-16:49:46,3,5,3.101019
219,2022-01-26-16:49:49,5,0,2.794394
220,2022-01-26-16:49:51,0,1,2.022850
221,2022-01-26-16:49:53,1,7,2.470689
222,2022-01-26-16:49:56,7,3,3.219217
223,2022-01-26-16:50:00,3,2,3.667829
224,2022-01-26-16:50:03,2,0,2.570724
225,2022-01-26-16:50:05,0,4,2.428728
226,2022-01-26-16:50:08,4,7,2.624729
227,2022-01-26-16:50:10,7,4,2.601252
228,2022-01-26-16:50:13,4,7,2.697793
229,2022-01-26-16:50:16,7,5,3.415105
230,2022-01-26-16:50:21,5,0,4.199377
231,2022-01-26-16:50:23,0,4,2.540326
232,2022-01-26-16:50:26,4,7,2.589143
233,2022-01-26-16:50:31,7,6,4.930711
234,2022-01-26-16:50:36,6,5,4.967179
235,2022-01-26-16:50:39,5,1,3.494116
236,2022-01-26-16:50:42,1,3,2.842862
237,2022-01-26-16:50:45,3,6,2.990033
238,2022-01-26-16:50:48,6,4,3.195128
239,2022-01-26-16:50:50,4,0,2.171886
240,2022-01-26-16:50:53,0,4,2.376786
241,2022-01-26-16:50:55,4,0,2.410479
242,2022-01-26-16:50:58,0,5,2.914829
243,2022-01-26-16:51:01,5,3,3.251498
244,2022-01-26-16:51:05,3,1,3.395703
245,2022-01-26-16:51:08,1,3,2.941741
246,2022-01-26-16:51:11,3,0,3.143788
247,2022-01-26-16:51:14,0,5,3.140590
248,2022-01-26-16:51:17,5,7,3.533917
249,2022-01-26-16:51:21,7,6,3.329862
250,2022-01-26-16:51:25,6,7,3.819890
251,2022-01-26-16:51:29,7,5,4.043779
252,2022-01-26-16:51:32,5,7,3.253748
253,2022-01-26-16:51:36,7,3,4.004038
254,2022-01-26-16:51:39,3,0,3.571505
255,2022-01-26-16:51:41,0,1,1.755441
256,2022-01-26-16:51:43,1,0,1.915028
257,2022-01-26-16:51:45,0,1,2.159431
