iteration,date,executiontime
1,2022-02-15-13:05:28,4.176933
2,2022-02-15-13:05:32,3.999421
3,2022-02-15-13:05:34,1.683340
4,2022-02-15-13:05:35,1.619352
5,2022-02-15-13:05:37,1.633971
6,2022-02-15-13:05:40,3.530608
7,2022-02-15-13:05:44,3.442742
8,2022-02-15-13:05:47,3.459861
9,2022-02-15-13:05:51,3.551909
10,2022-02-15-13:05:54,3.531305
11,2022-02-15-13:05:58,3.625874
12,2022-02-15-13:06:00,2.127019
13,2022-02-15-13:06:02,1.887321
14,2022-02-15-13:06:04,1.620254
15,2022-02-15-13:06:05,1.325237
16,2022-02-15-13:06:07,1.722248
17,2022-02-15-13:06:11,3.852634
18,2022-02-15-13:06:14,3.658941
19,2022-02-15-13:06:17,2.653617
20,2022-02-15-13:06:19,2.260363
21,2022-02-15-13:06:21,1.738553
22,2022-02-15-13:06:24,3.544197
23,2022-02-15-13:06:28,3.990219
24,2022-02-15-13:06:31,1.703503
25,2022-02-15-13:06:33,1.998717
26,2022-02-15-13:06:34,1.806788
27,2022-02-15-13:06:36,2.144712
28,2022-02-15-13:06:39,2.137369
29,2022-02-15-13:06:41,2.235708
30,2022-02-15-13:06:43,2.233681
31,2022-02-15-13:06:45,1.741283
32,2022-02-15-13:06:47,1.869730
33,2022-02-15-13:06:49,2.596464
34,2022-02-15-13:06:51,1.899585
35,2022-02-15-13:06:53,1.931738
36,2022-02-15-13:06:56,2.599082
37,2022-02-15-13:06:59,3.080070
38,2022-02-15-13:07:03,3.859573
39,2022-02-15-13:07:04,1.747884
40,2022-02-15-13:07:06,1.516166
41,2022-02-15-13:07:07,1.331998
42,2022-02-15-13:07:09,1.323110
43,2022-02-15-13:07:12,3.434778
44,2022-02-15-13:07:16,3.855654
45,2022-02-15-13:07:18,1.626650
46,2022-02-15-13:07:19,1.311112
47,2022-02-15-13:07:21,1.720055
48,2022-02-15-13:07:24,3.862224
49,2022-02-15-13:07:28,3.445283
50,2022-02-15-13:07:30,1.765575
51,2022-02-15-13:07:31,1.526743
52,2022-02-15-13:07:33,1.527894
53,2022-02-15-13:07:34,1.525303
54,2022-02-15-13:07:36,2.166536
55,2022-02-15-13:07:38,2.128821
56,2022-02-15-13:07:41,2.132964
57,2022-02-15-13:07:43,2.138283
58,2022-02-15-13:07:45,1.858501
59,2022-02-15-13:07:47,2.561517
60,2022-02-15-13:07:49,2.005085
61,2022-02-15-13:07:51,1.931192
62,2022-02-15-13:07:53,2.199279
63,2022-02-15-13:07:55,2.132006
64,2022-02-15-13:07:58,2.570474
65,2022-02-15-13:08:01,2.584831
66,2022-02-15-13:08:03,2.414381
67,2022-02-15-13:08:05,1.559537
68,2022-02-15-13:08:06,1.764328
69,2022-02-15-13:08:08,1.741355
70,2022-02-15-13:08:12,3.474775
71,2022-02-15-13:08:15,3.445695
72,2022-02-15-13:08:17,1.729546
73,2022-02-15-13:08:21,3.846451
74,2022-02-15-13:08:25,4.026071
75,2022-02-15-13:08:27,1.894520
76,2022-02-15-13:08:28,1.745724
77,2022-02-15-13:08:30,2.167652
78,2022-02-15-13:08:33,2.233128
79,2022-02-15-13:08:35,1.961395
80,2022-02-15-13:08:37,2.570244
81,2022-02-15-13:08:39,2.120567
82,2022-02-15-13:08:41,1.856689
83,2022-02-15-13:08:44,2.604333
84,2022-02-15-13:08:46,1.907830
85,2022-02-15-13:08:47,1.727659
86,2022-02-15-13:08:49,1.748495
87,2022-02-15-13:08:53,3.427163
88,2022-02-15-13:08:56,3.660217
89,2022-02-15-13:08:58,2.174501
90,2022-02-15-13:09:01,2.194251
91,2022-02-15-13:09:03,2.221055
92,2022-02-15-13:09:05,2.604342
93,2022-02-15-13:09:09,3.641177
94,2022-02-15-13:09:12,3.099553
95,2022-02-15-13:09:15,3.094507
96,2022-02-15-13:09:19,3.676474
97,2022-02-15-13:09:21,2.370434
98,2022-02-15-13:09:23,1.542052
99,2022-02-15-13:09:24,1.517104
100,2022-02-15-13:09:26,1.921124
101,2022-02-15-13:09:28,1.889925
102,2022-02-15-13:09:30,1.730260
103,2022-02-15-13:09:32,1.658864
104,2022-02-15-13:09:33,1.345970
105,2022-02-15-13:09:34,1.334217
106,2022-02-15-13:09:35,1.051618
107,2022-02-15-13:09:37,1.927605
108,2022-02-15-13:09:39,1.926856
109,2022-02-15-13:09:41,1.717289
110,2022-02-15-13:09:43,2.237780
111,2022-02-15-13:09:46,3.110144
112,2022-02-15-13:09:50,3.435596
113,2022-02-15-13:09:51,1.725238
114,2022-02-15-13:09:53,1.879213
115,2022-02-15-13:09:55,1.921850
116,2022-02-15-13:09:56,0.983326
117,2022-02-15-13:09:58,1.331292
118,2022-02-15-13:09:59,1.531331
119,2022-02-15-13:10:01,1.944072
120,2022-02-15-13:10:03,1.885086
121,2022-02-15-13:10:06,3.446037
122,2022-02-15-13:10:09,3.098766
123,2022-02-15-13:10:11,1.532828
124,2022-02-15-13:10:13,1.792428
125,2022-02-15-13:10:15,1.797866
126,2022-02-15-13:10:17,2.214303
127,2022-02-15-13:10:19,2.046558
128,2022-02-15-13:10:21,1.859421
129,2022-02-15-13:10:23,2.135265
130,2022-02-15-13:10:25,2.222225
131,2022-02-15-13:10:27,1.641976
132,2022-02-15-13:10:29,2.314512
133,2022-02-15-13:10:32,2.616875
134,2022-02-15-13:10:34,2.569124
135,2022-02-15-13:10:36,1.545043
136,2022-02-15-13:10:37,1.525338
137,2022-02-15-13:10:40,3.133568
138,2022-02-15-13:10:43,3.065546
139,2022-02-15-13:10:46,2.227956
140,2022-02-15-13:10:48,2.245558
141,2022-02-15-13:10:50,1.717183
142,2022-02-15-13:10:51,1.082747
143,2022-02-15-13:10:52,1.629946
144,2022-02-15-13:10:55,2.297415
145,2022-02-15-13:10:56,1.766210
146,2022-02-15-13:10:59,2.131984
147,2022-02-15-13:11:02,3.654246
148,2022-02-15-13:11:06,3.538355
149,2022-02-15-13:11:07,1.119908
150,2022-02-15-13:11:08,1.019251
151,2022-02-15-13:11:10,1.660286
152,2022-02-15-13:11:14,4.039959
153,2022-02-15-13:11:17,3.085743
154,2022-02-15-13:11:20,3.105758
155,2022-02-15-13:11:23,3.082802
156,2022-02-15-13:11:25,2.225876
157,2022-02-15-13:11:27,1.733898
158,2022-02-15-13:11:29,1.802378
