iteration,date,executiontime
1,2022-02-15-09:52:44,2.852850
2,2022-02-15-09:52:45,1.321716
3,2022-02-15-09:52:49,3.552509
4,2022-02-15-09:52:52,3.062787
5,2022-02-15-09:52:54,2.229597
6,2022-02-15-09:52:56,1.619351
7,2022-02-15-09:52:59,3.536384
8,2022-02-15-09:53:03,3.492614
9,2022-02-15-09:53:04,1.614937
10,2022-02-15-09:53:06,1.849972
11,2022-02-15-09:53:08,1.922096
12,2022-02-15-09:53:10,1.853913
13,2022-02-15-09:53:12,1.923768
14,2022-02-15-09:53:13,1.313972
15,2022-02-15-09:53:15,1.880949
16,2022-02-15-09:53:17,1.683446
17,2022-02-15-09:53:18,1.051278
18,2022-02-15-09:53:19,1.486252
19,2022-02-15-09:53:21,1.309857
20,2022-02-15-09:53:24,3.557466
21,2022-02-15-09:53:27,3.098201
22,2022-02-15-09:53:30,2.607645
23,2022-02-15-09:53:32,2.138593
24,2022-02-15-09:53:35,2.574892
25,2022-02-15-09:53:36,1.523433
26,2022-02-15-09:53:38,2.243365
27,2022-02-15-09:53:41,2.187333
28,2022-02-15-09:53:42,1.536828
29,2022-02-15-09:53:44,2.011103
30,2022-02-15-09:53:46,1.923853
31,2022-02-15-09:53:48,1.903510
32,2022-02-15-09:53:51,2.247980
33,2022-02-15-09:53:53,2.120716
34,2022-02-15-09:53:55,2.634460
35,2022-02-15-09:53:58,2.623732
36,2022-02-15-09:54:01,2.610191
37,2022-02-15-09:54:02,1.846885
38,2022-02-15-09:54:04,1.326876
39,2022-02-15-09:54:06,1.966957
40,2022-02-15-09:54:07,1.769413
41,2022-02-15-09:54:09,1.798677
42,2022-02-15-09:54:12,2.568463
43,2022-02-15-09:54:15,3.640707
44,2022-02-15-09:54:19,4.001824
45,2022-02-15-09:54:22,2.125623
46,2022-02-15-09:54:24,2.123254
47,2022-02-15-09:54:26,1.963160
48,2022-02-15-09:54:28,1.858046
49,2022-02-15-09:54:31,3.067033
50,2022-02-15-09:54:34,3.605727
