date,init_position,final_position,time
1,2022-01-26-16:36:07,-1,3,6.160814
2,2022-01-26-16:36:12,3,7,4.273618
3,2022-01-26-16:36:15,7,0,2.887500
4,2022-01-26-16:36:16,0,2,1.849946
5,2022-01-26-16:36:19,2,7,3.050774
6,2022-01-26-16:36:24,7,5,4.187774
7,2022-01-26-16:36:26,5,1,2.363009
8,2022-01-26-16:36:28,1,2,2.060968
9,2022-01-26-16:36:31,2,7,2.720373
10,2022-01-26-16:36:35,7,3,4.678412
11,2022-01-26-16:36:39,3,0,3.698577
12,2022-01-26-16:36:41,0,7,2.077088
13,2022-01-26-16:36:43,7,1,1.788074
14,2022-01-26-16:36:45,1,5,2.234835
15,2022-01-26-16:36:49,5,4,3.784929
16,2022-01-26-16:36:52,4,3,2.680932
17,2022-01-26-16:36:56,3,7,4.422457
18,2022-01-26-16:36:59,7,1,2.561321
19,2022-01-26-16:37:01,1,4,2.071695
20,2022-01-26-16:37:03,4,0,2.095460
21,2022-01-26-16:37:05,0,7,2.357497
22,2022-01-26-16:37:08,7,1,2.227133
23,2022-01-26-16:37:10,1,4,2.905712
24,2022-01-26-16:37:15,4,6,4.263014
25,2022-01-26-16:37:20,6,7,4.818941
26,2022-01-26-16:37:22,7,0,2.536465
27,2022-01-26-16:37:25,0,7,2.751273
28,2022-01-26-16:37:29,7,6,4.416234
29,2022-01-26-16:37:34,6,2,4.464663
30,2022-01-26-16:37:37,2,6,3.680225
31,2022-01-26-16:37:43,6,1,5.886175
32,2022-01-26-16:37:46,1,2,2.560069
33,2022-01-26-16:37:50,2,6,3.833820
34,2022-01-26-16:37:55,6,3,4.968769
35,2022-01-26-16:37:58,3,7,2.817843
36,2022-01-26-16:38:00,7,1,2.771070
37,2022-01-26-16:38:05,1,3,4.639614
38,2022-01-26-16:38:08,3,0,2.936261
39,2022-01-26-16:38:11,0,4,2.651960
40,2022-01-26-16:38:13,4,0,2.013353
41,2022-01-26-16:38:14,0,4,1.919950
42,2022-01-26-16:38:17,4,0,2.109465
43,2022-01-26-16:38:25,0,6,8.239762
44,2022-01-26-16:38:32,6,3,7.653598
45,2022-01-26-16:38:36,3,0,3.641515
46,2022-01-26-16:38:39,0,7,2.873670
47,2022-01-26-16:38:43,7,2,4.131679
48,2022-01-26-16:38:47,2,7,3.832289
49,2022-01-26-16:38:50,7,2,3.023198
50,2022-01-26-16:38:52,2,4,2.019502
51,2022-01-26-16:38:56,4,6,4.089292
52,2022-01-26-16:39:01,6,0,4.717378
53,2022-01-26-16:39:03,0,1,1.702426
54,2022-01-26-16:39:05,1,3,2.945739
55,2022-01-26-16:39:08,3,6,2.419589
56,2022-01-26-16:39:12,6,5,3.944266
57,2022-01-26-16:39:15,5,0,2.688573
58,2022-01-26-16:39:17,0,5,2.743262
59,2022-01-26-16:39:20,5,1,2.964282
60,2022-01-26-16:39:22,1,0,1.614636
61,2022-01-26-16:39:26,0,3,4.250219
