date,init_position,final_position,time
1,2022-01-26-16:38:03,-1,6,6.852197
2,2022-01-26-16:38:07,6,7,4.904303
3,2022-01-26-16:38:10,7,1,2.081668
4,2022-01-26-16:38:12,1,2,2.612137
5,2022-01-26-16:38:16,2,3,3.913599
6,2022-01-26-16:38:25,3,1,8.900130
7,2022-01-26-16:38:27,1,0,2.303224
8,2022-01-26-16:38:30,0,5,2.452456
9,2022-01-26-16:38:34,5,2,4.324678
10,2022-01-26-16:38:38,2,5,4.214895
11,2022-01-26-16:38:41,5,7,3.072163
12,2022-01-26-16:38:45,7,3,3.876127
13,2022-01-26-16:38:50,3,6,4.403710
14,2022-01-26-16:38:54,6,0,4.549397
15,2022-01-26-16:38:58,0,6,3.472147
16,2022-01-26-16:39:02,6,1,3.916170
17,2022-01-26-16:39:06,1,6,4.318247
18,2022-01-26-16:39:14,6,3,7.864842
19,2022-01-26-16:39:18,3,7,3.842757
20,2022-01-26-16:39:21,7,5,3.377100
21,2022-01-26-16:39:24,5,3,2.611526
22,2022-01-26-16:39:27,3,1,3.062289
23,2022-01-26-16:39:28,1,0,1.621664
24,2022-01-26-16:39:32,0,6,3.829873
25,2022-01-26-16:39:35,6,4,3.071741
26,2022-01-26-16:39:37,4,1,1.962671
27,2022-01-26-16:39:40,1,2,2.827121
28,2022-01-26-16:39:43,2,4,3.193477
29,2022-01-26-16:39:46,4,3,2.809958
30,2022-01-26-16:39:49,3,4,2.781453
31,2022-01-26-16:39:53,4,6,4.393319
32,2022-01-26-16:39:57,6,0,4.156280
33,2022-01-26-16:40:01,0,6,3.393644
34,2022-01-26-16:40:05,6,5,3.679928
35,2022-01-26-16:40:08,5,7,3.581002
36,2022-01-26-16:40:12,7,1,4.241001
37,2022-01-26-16:40:14,1,0,1.305870
38,2022-01-26-16:40:16,0,2,2.574410
39,2022-01-26-16:40:19,2,1,2.304875
40,2022-01-26-16:40:20,1,4,1.710453
41,2022-01-26-16:40:26,4,2,5.649075
