date,init_position,final_position,time
1,2022-01-26-16:37:11,-1,4,7.695528
2,2022-01-26-16:37:13,4,1,2.258138
3,2022-01-26-16:37:15,1,7,2.460686
4,2022-01-26-16:37:19,7,5,3.453058
5,2022-01-26-16:37:21,5,4,2.415948
6,2022-01-26-16:37:24,4,7,2.396462
7,2022-01-26-16:37:26,7,0,2.749115
8,2022-01-26-16:37:30,0,6,3.787558
9,2022-01-26-16:37:35,6,1,5.348549
10,2022-01-26-16:37:38,1,2,2.255661
11,2022-01-26-16:37:40,2,5,1.971447
12,2022-01-26-16:37:43,5,7,2.954370
13,2022-01-26-16:37:46,7,5,2.985355
14,2022-01-26-16:37:48,5,2,2.022753
15,2022-01-26-16:37:50,2,1,2.799887
16,2022-01-26-16:37:53,1,2,2.635169
17,2022-01-26-16:37:56,2,1,3.165863
18,2022-01-26-16:37:58,1,4,1.958050
19,2022-01-26-16:38:01,4,0,2.292901
20,2022-01-26-16:38:02,0,1,1.916257
21,2022-01-26-16:38:05,1,7,2.589358
22,2022-01-26-16:38:11,7,5,5.791481
23,2022-01-26-16:38:13,5,0,2.636600
24,2022-01-26-16:38:17,0,6,3.468613
25,2022-01-26-16:38:21,6,3,3.546024
26,2022-01-26-16:38:24,3,6,4.067675
27,2022-01-26-16:38:29,6,5,4.168065
28,2022-01-26-16:38:32,5,3,2.875450
29,2022-01-26-16:38:34,3,4,2.692604
30,2022-01-26-16:38:39,4,6,4.564829
31,2022-01-26-16:38:43,6,5,3.920017
32,2022-01-26-16:38:46,5,0,2.836282
33,2022-01-26-16:38:48,0,2,2.798803
34,2022-01-26-16:38:53,2,6,3.997318
35,2022-01-26-16:38:57,6,4,3.960021
36,2022-01-26-16:39:01,4,1,4.244276
37,2022-01-26-16:39:03,1,3,2.485906
38,2022-01-26-16:39:06,3,4,2.966349
39,2022-01-26-16:39:09,4,3,2.890773
40,2022-01-26-16:39:13,3,2,3.955668
41,2022-01-26-16:39:16,2,5,2.311145
42,2022-01-26-16:39:18,5,2,2.588160
43,2022-01-26-16:39:21,2,7,3.189422
44,2022-01-26-16:39:26,7,3,4.387886
45,2022-01-26-16:39:28,3,4,2.657287
46,2022-01-26-16:39:33,4,6,4.337809
47,2022-01-26-16:39:37,6,2,3.883570
48,2022-01-26-16:39:40,2,7,3.492827
49,2022-01-26-16:39:45,7,4,4.611249
50,2022-01-26-16:39:47,4,1,1.966924
51,2022-01-26-16:39:49,1,2,2.491161
52,2022-01-26-16:39:51,2,4,2.336317
53,2022-01-26-16:39:56,4,6,4.327970
54,2022-01-26-16:40:01,6,1,4.834839
55,2022-01-26-16:40:04,1,6,3.689616
56,2022-01-26-16:40:08,6,7,3.606484
57,2022-01-26-16:40:12,7,0,3.799984
58,2022-01-26-16:40:14,0,5,2.693479
59,2022-01-26-16:40:17,5,1,2.407604
60,2022-01-26-16:40:19,1,0,2.058688
61,2022-01-26-16:40:22,0,7,2.672074
62,2022-01-26-16:40:24,7,1,2.277644
63,2022-01-26-16:40:28,1,3,3.671032
64,2022-01-26-16:40:31,3,5,3.530227
65,2022-01-26-16:40:34,5,4,2.789581
66,2022-01-26-16:40:37,4,7,2.895774
67,2022-01-26-16:40:40,7,3,3.309784
68,2022-01-26-16:40:44,3,0,3.704980
69,2022-01-26-16:40:48,0,6,4.428976
70,2022-01-26-16:40:53,6,1,4.618833
71,2022-01-26-16:40:55,1,2,2.274914
72,2022-01-26-16:40:57,2,1,2.340805
73,2022-01-26-16:41:02,1,6,4.462392
