iteration,date,executiontime
1,2022-02-12-16:01:38,57.062297
2,2022-02-12-16:01:42,2.662338
3,2022-02-12-16:01:44,1.719212
4,2022-02-12-16:01:46,1.637179
5,2022-02-12-16:01:47,1.643539
6,2022-02-12-16:01:51,3.650033
7,2022-02-12-16:01:55,3.659741
8,2022-02-12-16:01:59,4.041197
9,2022-02-12-16:02:05,4.734272
10,2022-02-12-16:02:10,4.226850
11,2022-02-12-16:02:14,3.749065
12,2022-02-12-16:02:18,3.415890
13,2022-02-12-16:02:27,9.060175
14,2022-02-12-16:02:38,8.804309
15,2022-02-12-16:02:46,2.998759
16,2022-02-12-16:02:58,8.633017
17,2022-02-12-16:03:06,4.607069
18,2022-02-12-16:03:15,4.601312
19,2022-02-12-16:03:25,5.806770
20,2022-02-12-16:03:40,10.390489
21,2022-02-12-16:03:46,2.711923
22,2022-02-12-16:03:53,4.807700
23,2022-02-12-16:03:59,5.696105
24,2022-02-12-16:04:11,8.140912
25,2022-02-12-16:04:20,6.200243
26,2022-02-12-16:04:24,2.537264
27,2022-02-12-16:04:30,3.535014
28,2022-02-12-16:04:33,2.625017
29,2022-02-12-16:04:43,6.245994
30,2022-02-12-16:05:05,18.508626
31,2022-02-12-16:05:21,5.855357
32,2022-02-12-16:05:24,2.071999
33,2022-02-12-16:05:27,2.599181
34,2022-02-12-16:05:31,3.537949
35,2022-02-12-16:05:33,1.845012
36,2022-02-12-16:05:35,2.622774
37,2022-02-12-16:05:39,3.199815
38,2022-02-12-16:05:43,4.124087
39,2022-02-12-16:05:45,1.826141
40,2022-02-12-16:05:46,1.545845
41,2022-02-12-16:05:47,1.330800
42,2022-02-12-16:05:49,1.367109
43,2022-02-12-16:05:52,3.516699
44,2022-02-12-16:05:56,3.951287
45,2022-02-12-16:05:58,1.709950
46,2022-02-12-16:05:59,1.344940
47,2022-02-12-16:06:01,1.902212
48,2022-02-12-16:06:04,2.736020
49,2022-02-12-16:06:07,2.645343
50,2022-02-12-16:06:09,1.859820
51,2022-02-12-16:06:10,1.552860
52,2022-02-12-16:06:14,3.650746
53,2022-02-12-16:06:18,3.779455
54,2022-02-12-16:06:20,2.352503
55,2022-02-12-16:06:23,3.273137
56,2022-02-12-16:06:27,3.342071
57,2022-02-12-16:06:29,2.284531
58,2022-02-12-16:06:31,1.910704
59,2022-02-12-16:06:33,2.621068
60,2022-02-12-16:06:35,2.071319
61,2022-02-12-16:06:37,2.068645
62,2022-02-12-16:06:40,2.307663
63,2022-02-12-16:06:43,3.386504
64,2022-02-12-16:06:46,2.747988
65,2022-02-12-16:06:49,2.853814
66,2022-02-12-16:06:51,2.511895
67,2022-02-12-16:06:53,1.530931
68,2022-02-12-16:06:55,2.240101
69,2022-02-12-16:06:57,1.901187
70,2022-02-12-16:07:01,4.406745
71,2022-02-12-16:07:05,3.805287
72,2022-02-12-16:07:07,1.906500
73,2022-02-12-16:07:11,4.084059
74,2022-02-12-16:07:15,4.051227
75,2022-02-12-16:07:17,2.067148
76,2022-02-12-16:07:19,2.023885
77,2022-02-12-16:07:23,3.319048
78,2022-02-12-16:07:25,2.356283
79,2022-02-12-16:07:27,2.048132
80,2022-02-12-16:07:30,2.742528
81,2022-02-12-16:07:32,2.120242
82,2022-02-12-16:07:34,1.867598
83,2022-02-12-16:07:36,2.622436
84,2022-02-12-16:07:39,2.723724
85,2022-02-12-16:07:44,3.021030
86,2022-02-12-16:07:48,2.946441
87,2022-02-12-16:07:52,3.770472
88,2022-02-12-16:07:56,3.880372
89,2022-02-12-16:07:58,2.300644
90,2022-02-12-16:08:01,2.441530
91,2022-02-12-16:08:05,3.395856
92,2022-02-12-16:08:09,2.916346
93,2022-02-12-16:08:11,2.135488
94,2022-02-12-16:08:15,3.256935
95,2022-02-12-16:08:18,3.242099
96,2022-02-12-16:08:23,4.346578
97,2022-02-12-16:08:25,2.726525
98,2022-02-12-16:08:27,1.595187
99,2022-02-12-16:08:29,1.606319
100,2022-02-12-16:08:31,2.017955
101,2022-02-12-16:08:36,5.093241
102,2022-02-12-16:08:40,4.013478
103,2022-02-12-16:08:42,1.705424
104,2022-02-12-16:08:43,1.494413
105,2022-02-12-16:08:44,1.421645
106,2022-02-12-16:08:46,1.193326
107,2022-02-12-16:08:48,2.016965
108,2022-02-12-16:08:50,2.000146
109,2022-02-12-16:08:51,1.797129
110,2022-02-12-16:08:54,2.463702
111,2022-02-12-16:08:57,3.136441
112,2022-02-12-16:09:01,3.674382
113,2022-02-12-16:09:03,1.908744
114,2022-02-12-16:09:05,1.947646
115,2022-02-12-16:09:07,1.985224
116,2022-02-12-16:09:08,1.709185
117,2022-02-12-16:09:10,1.670892
118,2022-02-12-16:09:12,1.549795
119,2022-02-12-16:09:15,3.160915
120,2022-02-12-16:09:18,3.267370
121,2022-02-12-16:09:22,3.533635
122,2022-02-12-16:09:25,3.191492
123,2022-02-12-16:09:26,1.578084
124,2022-02-12-16:09:28,2.132683
125,2022-02-12-16:09:30,1.841856
126,2022-02-12-16:09:34,3.517983
127,2022-02-12-16:09:38,3.800458
128,2022-02-12-16:09:40,1.962432
129,2022-02-12-16:09:42,2.328540
