iteration,date,executiontime
1,2022-02-15-11:06:03,2.804821
2,2022-02-15-11:06:05,2.288823
3,2022-02-15-11:06:07,1.617796
4,2022-02-15-11:06:10,3.522957
5,2022-02-15-11:06:14,3.683122
6,2022-02-15-11:06:16,1.715640
7,2022-02-15-11:06:18,2.278221
8,2022-02-15-11:06:20,1.612548
9,2022-02-15-11:06:22,1.953772
10,2022-02-15-11:06:24,1.855783
11,2022-02-15-11:06:25,1.334915
12,2022-02-15-11:06:27,1.657295
13,2022-02-15-11:06:28,1.980794
14,2022-02-15-11:06:30,1.719477
15,2022-02-15-11:06:32,1.721881
16,2022-02-15-11:06:34,1.717749
17,2022-02-15-11:06:36,2.682497
18,2022-02-15-11:06:38,2.060976
19,2022-02-15-11:06:41,2.125452
20,2022-02-15-11:06:43,2.219173
21,2022-02-15-11:06:45,1.985240
22,2022-02-15-11:06:47,2.229484
23,2022-02-15-11:06:49,1.854381
24,2022-02-15-11:06:51,2.074949
25,2022-02-15-11:06:54,2.733861
26,2022-02-15-11:06:56,2.353401
27,2022-02-15-11:06:58,2.360632
28,2022-02-15-11:07:00,1.998723
29,2022-02-15-11:07:04,3.801146
30,2022-02-15-11:07:07,3.310229
31,2022-02-15-11:07:10,2.227930
32,2022-02-15-11:07:12,2.229361
33,2022-02-15-11:07:14,2.058312
34,2022-02-15-11:07:15,1.039758
35,2022-02-15-11:07:17,1.790132
36,2022-02-15-11:07:19,1.741878
37,2022-02-15-11:07:20,1.328645
38,2022-02-15-11:07:21,1.584975
39,2022-02-15-11:07:24,2.220115
40,2022-02-15-11:07:27,3.064337
41,2022-02-15-11:07:31,4.036837
42,2022-02-15-11:07:33,2.588975
43,2022-02-15-11:07:36,2.997133
44,2022-02-15-11:07:40,3.844402
45,2022-02-15-11:07:42,1.720356
46,2022-02-15-11:07:46,3.606438
47,2022-02-15-11:07:49,3.457275
48,2022-02-15-11:07:52,3.482288
49,2022-02-15-11:07:56,3.930200
50,2022-02-15-11:07:58,1.821836
51,2022-02-15-11:08:00,1.925596
52,2022-02-15-11:08:01,1.319459
53,2022-02-15-11:08:03,1.341973
54,2022-02-15-11:08:04,1.530577
55,2022-02-15-11:08:06,1.742289
56,2022-02-15-11:08:08,1.683004
57,2022-02-15-11:08:11,3.455282
58,2022-02-15-11:08:15,3.602803
59,2022-02-15-11:08:17,1.958505
60,2022-02-15-11:08:19,1.742113
61,2022-02-15-11:08:21,2.408663
62,2022-02-15-11:08:24,2.716449
63,2022-02-15-11:08:26,2.575544
64,2022-02-15-11:08:30,3.270961
65,2022-02-15-11:08:33,3.464849
66,2022-02-15-11:08:35,1.668950
67,2022-02-15-11:08:38,3.498716
68,2022-02-15-11:08:42,3.440423
69,2022-02-15-11:08:44,1.929795
70,2022-02-15-11:08:46,2.216288
71,2022-02-15-11:08:47,1.623751
72,2022-02-15-11:08:50,2.687623
73,2022-02-15-11:08:53,3.135854
74,2022-02-15-11:08:55,1.793437
75,2022-02-15-11:08:58,3.495942
76,2022-02-15-11:09:02,3.121866
77,2022-02-15-11:09:05,3.433301
78,2022-02-15-11:09:09,3.800093
79,2022-02-15-11:09:12,3.103813
80,2022-02-15-11:09:15,2.800602
81,2022-02-15-11:09:19,4.138820
82,2022-02-15-11:09:21,2.130027
83,2022-02-15-11:09:24,3.051254
84,2022-02-15-11:09:26,1.516897
85,2022-02-15-11:09:27,1.721061
86,2022-02-15-11:09:29,1.515072
87,2022-02-15-11:09:31,2.099846
88,2022-02-15-11:09:33,2.182789
89,2022-02-15-11:09:35,1.953318
90,2022-02-15-11:09:38,3.436629
91,2022-02-15-11:09:42,3.849512
92,2022-02-15-11:09:44,1.888581
93,2022-02-15-11:09:45,1.043765
94,2022-02-15-11:09:48,2.322291
95,2022-02-15-11:09:50,2.287360
96,2022-02-15-11:09:53,2.728616
97,2022-02-15-11:09:55,2.070659
98,2022-02-15-11:09:57,2.085460
99,2022-02-15-11:09:59,1.885978
100,2022-02-15-11:10:01,1.922019
101,2022-02-15-11:10:02,1.654734
102,2022-02-15-11:10:04,1.666166
103,2022-02-15-11:10:06,1.985989
104,2022-02-15-11:10:08,1.783052
105,2022-02-15-11:10:12,3.940789
106,2022-02-15-11:10:16,3.939431
107,2022-02-15-11:10:18,2.219654
108,2022-02-15-11:10:20,1.918700
109,2022-02-15-11:10:21,1.582446
110,2022-02-15-11:10:23,2.116964
111,2022-02-15-11:10:26,2.518617
112,2022-02-15-11:10:28,1.917487
113,2022-02-15-11:10:31,3.231254
114,2022-02-15-11:10:35,3.898398
115,2022-02-15-11:10:37,1.918467
116,2022-02-15-11:10:39,1.783110
117,2022-02-15-11:10:40,1.341374
118,2022-02-15-11:10:42,2.293840
119,2022-02-15-11:10:44,2.021860
120,2022-02-15-11:10:48,3.849137
121,2022-02-15-11:10:50,2.125572
122,2022-02-15-11:10:53,2.608195
123,2022-02-15-11:10:57,4.177634
124,2022-02-15-11:10:58,1.320203
125,2022-02-15-11:11:00,1.530252
126,2022-02-15-11:11:03,3.565685
127,2022-02-15-11:11:07,3.131294
128,2022-02-15-11:11:09,2.042735
129,2022-02-15-11:11:11,2.430040
130,2022-02-15-11:11:13,2.361906
131,2022-02-15-11:11:15,1.771733
132,2022-02-15-11:11:18,2.675055
133,2022-02-15-11:11:22,3.740906
134,2022-02-15-11:11:25,3.698672
135,2022-02-15-11:11:28,2.632519
136,2022-02-15-11:11:30,1.989269
137,2022-02-15-11:11:32,1.757697
138,2022-02-15-11:11:35,3.433942
