iteration,date,executiontime
1,2022-02-12-16:05:26,45.103411
2,2022-02-12-16:05:27,1.375548
3,2022-02-12-16:05:30,3.002620
4,2022-02-12-16:05:35,4.207034
5,2022-02-12-16:05:39,4.307647
6,2022-02-12-16:05:42,1.833768
7,2022-02-12-16:05:46,3.646164
8,2022-02-12-16:05:50,3.773200
9,2022-02-12-16:05:51,1.700627
10,2022-02-12-16:05:53,1.914110
11,2022-02-12-16:05:55,2.114192
12,2022-02-12-16:05:58,2.671828
13,2022-02-12-16:06:00,2.153586
14,2022-02-12-16:06:02,1.343590
15,2022-02-12-16:06:03,1.894801
16,2022-02-12-16:06:05,1.814472
17,2022-02-12-16:06:06,1.063704
18,2022-02-12-16:06:08,1.555393
19,2022-02-12-16:06:09,1.356893
20,2022-02-12-16:06:13,3.585651
21,2022-02-12-16:06:16,3.135838
22,2022-02-12-16:06:20,4.351386
23,2022-02-12-16:06:24,3.541706
24,2022-02-12-16:06:27,2.720238
25,2022-02-12-16:06:28,1.539289
26,2022-02-12-16:06:30,2.226371
27,2022-02-12-16:06:33,2.250754
28,2022-02-12-16:06:34,1.591607
29,2022-02-12-16:06:36,1.990915
30,2022-02-12-16:06:38,2.000318
31,2022-02-12-16:06:40,2.195981
32,2022-02-12-16:06:43,2.447052
33,2022-02-12-16:06:46,3.271255
34,2022-02-12-16:06:49,2.707692
35,2022-02-12-16:06:51,2.652381
36,2022-02-12-16:06:54,2.752391
37,2022-02-12-16:06:56,1.832113
38,2022-02-12-16:06:58,2.066934
39,2022-02-12-16:07:01,2.733914
40,2022-02-12-16:07:03,1.915870
41,2022-02-12-16:07:07,4.386866
42,2022-02-12-16:07:10,2.778934
43,2022-02-12-16:07:13,3.194804
44,2022-02-12-16:07:16,2.638579
45,2022-02-12-16:07:19,3.376505
46,2022-02-12-16:07:23,3.398471
47,2022-02-12-16:07:26,3.101675
48,2022-02-12-16:07:29,3.106283
49,2022-02-12-16:07:32,3.317730
50,2022-02-12-16:07:36,3.711269
51,2022-02-12-16:07:39,3.254111
52,2022-02-12-16:07:45,3.377165
53,2022-02-12-16:07:50,4.640459
54,2022-02-12-16:07:52,2.026984
55,2022-02-12-16:07:56,3.278940
56,2022-02-12-16:08:00,4.385215
57,2022-02-12-16:08:05,3.502637
58,2022-02-12-16:08:08,1.784249
59,2022-02-12-16:08:10,2.005345
60,2022-02-12-16:08:13,2.706576
61,2022-02-12-16:08:16,2.865537
62,2022-02-12-16:08:19,3.140187
63,2022-02-12-16:08:23,4.145642
64,2022-02-12-16:08:25,2.104526
65,2022-02-12-16:08:27,1.760774
66,2022-02-12-16:08:30,3.435231
67,2022-02-12-16:08:33,2.642841
68,2022-02-12-16:08:36,2.663791
69,2022-02-12-16:08:40,3.680844
70,2022-02-12-16:08:42,1.779656
71,2022-02-12-16:08:43,1.582042
72,2022-02-12-16:08:45,2.061659
73,2022-02-12-16:08:48,2.416022
74,2022-02-12-16:08:51,2.866457
75,2022-02-12-16:08:53,2.003899
76,2022-02-12-16:08:55,2.736437
77,2022-02-12-16:08:57,1.884866
78,2022-02-12-16:08:59,1.922881
79,2022-02-12-16:09:01,2.171919
80,2022-02-12-16:09:03,1.581617
81,2022-02-12-16:09:05,1.839627
82,2022-02-12-16:09:08,3.499769
83,2022-02-12-16:09:12,4.193876
84,2022-02-12-16:09:16,3.771989
85,2022-02-12-16:09:20,4.060203
86,2022-02-12-16:09:22,1.945388
87,2022-02-12-16:09:25,2.457616
88,2022-02-12-16:09:27,2.059173
89,2022-02-12-16:09:29,2.050615
90,2022-02-12-16:09:31,1.794766
91,2022-02-12-16:09:32,1.830518
92,2022-02-12-16:09:35,2.171656
93,2022-02-12-16:09:39,4.378150
94,2022-02-12-16:09:43,3.986539
95,2022-02-12-16:09:46,2.230560
96,2022-02-12-16:09:48,2.263071
97,2022-02-12-16:09:50,2.303796
98,2022-02-12-16:09:52,2.103797
99,2022-02-12-16:09:54,1.801297
100,2022-02-12-16:09:57,2.341231
101,2022-02-12-16:09:59,2.747963
102,2022-02-12-16:10:03,3.323607
103,2022-02-12-16:10:06,3.254360
104,2022-02-12-16:10:08,1.972163
105,2022-02-12-16:10:10,2.029279
106,2022-02-12-16:10:13,2.552897
107,2022-02-12-16:10:14,1.872804
108,2022-02-12-16:10:16,1.885825
