iteration,date,executiontime
1,2022-02-15-04:16:25,2.592911
2,2022-02-15-04:16:27,2.228162
3,2022-02-15-04:16:29,1.621919
4,2022-02-15-04:16:32,3.594947
5,2022-02-15-04:16:36,3.554923
6,2022-02-15-04:16:38,1.750006
7,2022-02-15-04:16:40,2.248472
8,2022-02-15-04:16:41,1.630806
9,2022-02-15-04:16:43,1.936702
10,2022-02-15-04:16:45,1.756965
11,2022-02-15-04:16:46,1.351356
12,2022-02-15-04:16:48,1.698146
13,2022-02-15-04:16:50,1.944777
14,2022-02-15-04:16:52,1.732026
15,2022-02-15-04:16:54,1.762846
16,2022-02-15-04:16:55,1.763411
17,2022-02-15-04:16:58,2.580878
18,2022-02-15-04:17:00,2.142504
19,2022-02-15-04:17:02,2.105558
20,2022-02-15-04:17:04,2.281375
21,2022-02-15-04:17:07,2.010204
22,2022-02-15-04:17:09,2.213646
23,2022-02-15-04:17:10,1.711558
24,2022-02-15-04:17:12,1.873851
25,2022-02-15-04:17:14,2.157954
26,2022-02-15-04:17:17,2.163545
27,2022-02-15-04:17:19,2.149448
28,2022-02-15-04:17:22,3.572915
29,2022-02-15-04:17:26,3.454068
30,2022-02-15-04:17:28,1.768687
31,2022-02-15-04:17:30,2.226509
32,2022-02-15-04:17:32,2.228508
33,2022-02-15-04:17:34,1.925085
34,2022-02-15-04:17:35,0.980496
35,2022-02-15-04:17:37,1.719972
36,2022-02-15-04:17:38,1.722888
37,2022-02-15-04:17:40,1.354251
38,2022-02-15-04:17:41,1.628425
39,2022-02-15-04:17:44,2.232449
40,2022-02-15-04:17:47,3.167742
41,2022-02-15-04:17:51,4.050673
42,2022-02-15-04:17:53,2.623651
43,2022-02-15-04:17:56,2.619761
44,2022-02-15-04:17:58,2.137327
45,2022-02-15-04:18:00,1.683510
46,2022-02-15-04:18:03,3.576716
47,2022-02-15-04:18:07,3.443840
48,2022-02-15-04:18:10,3.462573
49,2022-02-15-04:18:14,3.864976
50,2022-02-15-04:18:16,1.876490
51,2022-02-15-04:18:18,1.928575
52,2022-02-15-04:18:19,1.324064
53,2022-02-15-04:18:21,1.381115
54,2022-02-15-04:18:22,1.527839
55,2022-02-15-04:18:24,1.727416
56,2022-02-15-04:18:26,1.719847
57,2022-02-15-04:18:29,3.454899
58,2022-02-15-04:18:33,3.549000
59,2022-02-15-04:18:35,1.963413
60,2022-02-15-04:18:36,1.724368
61,2022-02-15-04:18:39,2.395483
62,2022-02-15-04:18:41,2.595773
63,2022-02-15-04:18:44,2.625058
64,2022-02-15-04:18:46,2.137826
65,2022-02-15-04:18:48,1.898585
66,2022-02-15-04:18:50,1.625425
67,2022-02-15-04:18:52,2.235325
68,2022-02-15-04:18:54,2.226690
69,2022-02-15-04:18:56,1.921887
70,2022-02-15-04:18:58,2.199986
71,2022-02-15-04:19:00,1.623181
72,2022-02-15-04:19:03,3.538061
73,2022-02-15-04:19:07,3.061445
74,2022-02-15-04:19:08,1.725752
75,2022-02-15-04:19:12,3.447532
76,2022-02-15-04:19:15,3.598015
77,2022-02-15-04:19:18,2.230611
78,2022-02-15-04:19:20,2.186719
79,2022-02-15-04:19:22,2.559788
80,2022-02-15-04:19:25,2.596661
81,2022-02-15-04:19:27,2.127135
82,2022-02-15-04:19:29,2.137911
83,2022-02-15-04:19:31,2.207265
84,2022-02-15-04:19:33,1.525481
85,2022-02-15-04:19:35,1.739559
86,2022-02-15-04:19:36,1.556386
87,2022-02-15-04:19:38,2.130994
