date,init_position,final_position,time
1,2022-01-26-16:37:08,-1,1,5.934599
2,2022-01-26-16:37:11,1,3,2.830462
3,2022-01-26-16:37:13,3,6,2.516676
4,2022-01-26-16:37:17,6,5,3.484343
5,2022-01-26-16:37:20,5,3,3.591665
6,2022-01-26-16:37:23,3,6,2.808255
7,2022-01-26-16:37:27,6,4,4.170878
8,2022-01-26-16:37:32,4,0,4.355441
9,2022-01-26-16:37:35,0,3,3.114404
10,2022-01-26-16:37:38,3,0,3.239324
11,2022-01-26-16:37:41,0,7,2.449551
12,2022-01-26-16:37:44,7,2,2.918443
13,2022-01-26-16:37:48,2,6,4.211594
14,2022-01-26-16:37:51,6,1,3.639250
15,2022-01-26-16:37:54,1,2,2.262065
16,2022-01-26-16:37:56,2,5,2.059376
17,2022-01-26-16:37:59,5,7,3.216937
18,2022-01-26-16:38:03,7,1,4.327864
19,2022-01-26-16:38:06,1,7,2.291308
20,2022-01-26-16:38:09,7,4,3.007112
21,2022-01-26-16:38:11,4,7,2.539635
22,2022-01-26-16:38:14,7,6,3.307840
23,2022-01-26-16:38:22,6,1,7.385159
24,2022-01-26-16:38:26,1,5,4.219881
25,2022-01-26-16:38:30,5,0,3.515754
26,2022-01-26-16:38:34,0,3,4.143652
27,2022-01-26-16:38:39,3,6,4.924603
28,2022-01-26-16:38:43,6,4,3.857108
29,2022-01-26-16:38:45,4,1,2.527201
30,2022-01-26-16:38:50,1,6,4.435026
31,2022-01-26-16:38:54,6,7,4.202020
32,2022-01-26-16:38:58,7,1,4.525726
33,2022-01-26-16:39:01,1,3,3.152725
34,2022-01-26-16:39:04,3,5,2.870484
35,2022-01-26-16:39:08,5,7,3.278461
36,2022-01-26-16:39:14,7,1,6.463737
37,2022-01-26-16:39:16,1,4,2.174620
38,2022-01-26-16:39:19,4,7,2.722690
39,2022-01-26-16:39:22,7,4,3.166417
40,2022-01-26-16:39:25,4,5,2.440547
41,2022-01-26-16:39:28,5,6,3.717823
42,2022-01-26-16:39:33,6,4,5.090407
43,2022-01-26-16:39:38,4,2,5.108961
44,2022-01-26-16:39:41,2,4,2.225945
45,2022-01-26-16:39:43,4,2,2.581349
46,2022-01-26-16:39:47,2,6,3.757288
47,2022-01-26-16:39:51,6,2,4.198614
48,2022-01-26-16:39:57,2,3,5.400621
49,2022-01-26-16:39:59,3,6,2.511031
50,2022-01-26-16:40:03,6,7,3.467961
51,2022-01-26-16:40:06,7,5,3.485802
52,2022-01-26-16:40:09,5,2,2.652210
53,2022-01-26-16:40:13,2,6,4.232713
54,2022-01-26-16:40:17,6,7,3.666736
55,2022-01-26-16:40:20,7,5,3.784150
56,2022-01-26-16:40:24,5,6,3.724276
57,2022-01-26-16:40:29,6,4,4.784604
58,2022-01-26-16:40:31,4,3,2.293355
59,2022-01-26-16:40:34,3,4,2.472028
60,2022-01-26-16:40:36,4,1,2.053883
61,2022-01-26-16:40:39,1,5,2.985149
62,2022-01-26-16:40:43,5,6,4.175433
63,2022-01-26-16:40:48,6,1,5.010969
64,2022-01-26-16:40:52,1,6,4.124270
65,2022-01-26-16:40:55,6,5,3.426043
66,2022-01-26-16:40:59,5,0,3.202444
67,2022-01-26-16:41:01,0,4,2.196508
68,2022-01-26-16:41:03,4,1,1.733227
69,2022-01-26-16:41:06,1,2,2.896679
70,2022-01-26-16:41:08,2,4,2.560013
71,2022-01-26-16:41:11,4,5,2.523337
72,2022-01-26-16:41:13,5,4,2.705613
73,2022-01-26-16:41:19,4,2,5.270540
74,2022-01-26-16:41:24,2,0,5.448147
75,2022-01-26-16:41:26,0,1,2.045384
76,2022-01-26-16:41:28,1,4,2.011391
77,2022-01-26-16:41:30,4,5,2.269329
78,2022-01-26-16:41:33,5,1,2.905883
79,2022-01-26-16:41:39,1,3,5.464574
80,2022-01-26-16:41:43,3,7,4.354108
81,2022-01-26-16:41:47,7,3,3.294884
82,2022-01-26-16:41:51,3,5,4.330655
83,2022-01-26-16:41:54,5,4,2.705708
84,2022-01-26-16:41:56,4,5,2.576560
85,2022-01-26-16:42:00,5,3,3.330994
86,2022-01-26-16:42:02,3,4,2.428560
87,2022-01-26-16:42:04,4,5,2.126684
88,2022-01-26-16:42:07,5,1,3.274201
89,2022-01-26-16:42:11,1,6,3.208557
90,2022-01-26-16:42:14,6,0,3.442665
91,2022-01-26-16:42:16,0,1,1.621063
92,2022-01-26-16:42:17,1,0,1.585362
93,2022-01-26-16:42:19,0,1,1.680466
94,2022-01-26-16:42:22,1,5,3.416550
95,2022-01-26-16:42:25,5,0,2.586554
96,2022-01-26-16:42:27,0,7,2.457086
97,2022-01-26-16:42:33,7,3,5.265661
98,2022-01-26-16:42:37,3,4,4.872139
99,2022-01-26-16:42:41,4,3,3.392522
100,2022-01-26-16:42:46,3,2,5.073395
101,2022-01-26-16:42:50,2,3,3.739302
102,2022-01-26-16:42:54,3,1,4.726788
103,2022-01-26-16:42:57,1,4,2.155725
104,2022-01-26-16:43:02,4,2,5.273227
105,2022-01-26-16:43:07,2,1,5.169675
106,2022-01-26-16:43:11,1,3,3.654589
107,2022-01-26-16:43:15,3,7,4.535957
108,2022-01-26-16:43:20,7,4,5.036033
109,2022-01-26-16:43:25,4,7,4.330729
110,2022-01-26-16:43:29,7,3,4.252340
111,2022-01-26-16:43:33,3,2,3.733411
112,2022-01-26-16:43:35,2,5,2.175587
113,2022-01-26-16:43:38,5,1,3.023024
114,2022-01-26-16:43:40,1,7,2.487954
115,2022-01-26-16:43:44,7,3,3.510278
116,2022-01-26-16:43:47,3,2,3.665979
117,2022-01-26-16:43:51,2,7,3.407990
118,2022-01-26-16:43:59,7,4,8.319869
119,2022-01-26-16:44:01,4,1,2.133770
120,2022-01-26-16:44:03,1,0,1.727564
121,2022-01-26-16:44:06,0,2,2.701615
122,2022-01-26-16:44:09,2,5,2.807405
123,2022-01-26-16:44:13,5,6,4.806832
124,2022-01-26-16:44:18,6,2,4.957127
125,2022-01-26-16:44:23,2,5,4.748089
126,2022-01-26-16:44:27,5,3,4.154630
127,2022-01-26-16:44:31,3,5,3.677521
128,2022-01-26-16:44:34,5,1,3.147345
129,2022-01-26-16:44:36,1,7,2.412196
130,2022-01-26-16:44:40,7,0,3.080832
131,2022-01-26-16:44:41,0,4,1.803160
132,2022-01-26-16:44:44,4,2,3.032647
133,2022-01-26-16:44:48,2,6,3.636735
134,2022-01-26-16:44:53,6,1,4.979065
135,2022-01-26-16:44:55,1,7,2.229590
136,2022-01-26-16:44:58,7,0,2.622109
137,2022-01-26-16:45:01,0,5,3.380959
138,2022-01-26-16:45:05,5,4,3.312729
139,2022-01-26-16:45:07,4,1,2.294307
140,2022-01-26-16:45:10,1,3,2.940335
141,2022-01-26-16:45:13,3,1,3.240792
142,2022-01-26-16:45:18,1,6,4.444465
143,2022-01-26-16:45:23,6,4,5.168512
144,2022-01-26-16:45:25,4,2,2.641005
145,2022-01-26-16:45:27,2,5,2.113189
146,2022-01-26-16:45:30,5,1,2.912532
147,2022-01-26-16:45:32,1,4,1.922036
148,2022-01-26-16:45:34,4,0,2.204941
149,2022-01-26-16:45:37,0,2,2.639779
150,2022-01-26-16:45:41,2,6,4.207745
151,2022-01-26-16:45:46,6,4,4.346201
152,2022-01-26-16:45:51,4,1,4.912306
153,2022-01-26-16:45:54,1,3,3.028998
154,2022-01-26-16:45:57,3,5,3.228976
155,2022-01-26-16:46:01,5,6,4.251109
156,2022-01-26-16:46:06,6,0,4.786884
157,2022-01-26-16:46:11,0,3,5.038819
158,2022-01-26-16:46:15,3,0,3.983404
159,2022-01-26-16:46:17,0,1,2.024868
160,2022-01-26-16:46:19,1,0,1.590698
161,2022-01-26-16:46:22,0,5,2.933714
162,2022-01-26-16:46:24,5,0,2.704221
