iteration,date,executiontime
1,2022-02-15-11:06:02,3.136032
2,2022-02-15-11:06:04,1.793895
3,2022-02-15-11:06:07,2.434079
4,2022-02-15-11:06:09,2.084549
5,2022-02-15-11:06:10,1.782196
6,2022-02-15-11:06:12,1.728320
7,2022-02-15-11:06:15,2.634600
8,2022-02-15-11:06:18,3.295935
9,2022-02-15-11:06:21,3.239083
10,2022-02-15-11:06:23,1.655619
11,2022-02-15-11:06:26,2.653466
12,2022-02-15-11:06:28,1.983499
13,2022-02-15-11:06:29,1.684630
14,2022-02-15-11:06:31,2.119523
15,2022-02-15-11:06:33,1.991015
16,2022-02-15-11:06:37,3.426579
17,2022-02-15-11:06:40,2.785837
18,2022-02-15-11:06:43,3.262242
19,2022-02-15-11:06:45,1.952546
20,2022-02-15-11:06:47,1.971929
21,2022-02-15-11:06:49,1.725760
22,2022-02-15-11:06:53,4.307409
23,2022-02-15-11:06:57,3.931004
24,2022-02-15-11:06:59,2.233502
25,2022-02-15-11:07:03,3.748371
26,2022-02-15-11:07:06,3.519416
27,2022-02-15-11:07:08,2.089667
28,2022-02-15-11:07:13,4.220324
29,2022-02-15-11:07:17,4.304872
30,2022-02-15-11:07:19,2.097098
31,2022-02-15-11:07:20,1.314121
32,2022-02-15-11:07:21,1.054991
33,2022-02-15-11:07:23,1.515063
34,2022-02-15-11:07:24,1.345717
35,2022-02-15-11:07:25,1.044493
36,2022-02-15-11:07:27,1.719328
37,2022-02-15-11:07:30,3.123614
38,2022-02-15-11:07:34,3.945659
39,2022-02-15-11:07:36,2.094066
40,2022-02-15-11:07:38,1.918882
41,2022-02-15-11:07:41,2.553343
42,2022-02-15-11:07:43,2.533469
43,2022-02-15-11:07:46,2.628022
44,2022-02-15-11:07:47,1.525211
45,2022-02-15-11:07:49,1.642713
46,2022-02-15-11:07:51,2.223452
47,2022-02-15-11:07:53,2.205462
48,2022-02-15-11:07:56,2.226352
49,2022-02-15-11:07:57,1.632969
50,2022-02-15-11:07:59,1.941119
51,2022-02-15-11:08:01,2.240507
52,2022-02-15-11:08:04,2.338142
53,2022-02-15-11:08:06,2.598563
54,2022-02-15-11:08:11,4.259668
55,2022-02-15-11:08:14,3.034506
56,2022-02-15-11:08:17,3.195907
57,2022-02-15-11:08:21,4.162029
58,2022-02-15-11:08:22,1.085766
59,2022-02-15-11:08:24,1.768062
60,2022-02-15-11:08:26,1.774205
61,2022-02-15-11:08:27,1.122270
62,2022-02-15-11:08:29,2.022019
63,2022-02-15-11:08:30,1.525053
64,2022-02-15-11:08:33,2.580089
65,2022-02-15-11:08:37,3.659454
66,2022-02-15-11:08:38,1.813138
67,2022-02-15-11:08:42,3.434975
68,2022-02-15-11:08:45,3.108185
69,2022-02-15-11:08:47,1.817105
70,2022-02-15-11:08:51,3.748382
71,2022-02-15-11:08:53,2.788265
72,2022-02-15-11:08:56,2.767862
73,2022-02-15-11:09:00,3.465886
74,2022-02-15-11:09:02,2.694052
75,2022-02-15-11:09:06,3.629383
76,2022-02-15-11:09:09,2.788470
77,2022-02-15-11:09:12,2.891805
78,2022-02-15-11:09:13,1.725090
79,2022-02-15-11:09:15,1.577914
80,2022-02-15-11:09:17,1.915807
81,2022-02-15-11:09:19,2.221877
82,2022-02-15-11:09:21,2.347460
83,2022-02-15-11:09:24,2.321084
84,2022-02-15-11:09:26,2.033145
85,2022-02-15-11:09:28,2.641272
86,2022-02-15-11:09:31,2.224354
87,2022-02-15-11:09:33,2.094925
88,2022-02-15-11:09:34,1.614658
89,2022-02-15-11:09:37,2.796834
90,2022-02-15-11:09:40,2.690177
91,2022-02-15-11:09:42,1.775238
92,2022-02-15-11:09:43,1.898682
93,2022-02-15-11:09:45,1.719424
94,2022-02-15-11:09:47,1.722125
95,2022-02-15-11:09:49,1.783922
96,2022-02-15-11:09:51,2.122717
97,2022-02-15-11:09:53,2.349198
98,2022-02-15-11:09:56,3.127747
99,2022-02-15-11:10:00,3.594178
100,2022-02-15-11:10:02,1.713486
101,2022-02-15-11:10:03,1.715376
102,2022-02-15-11:10:05,1.495821
103,2022-02-15-11:10:07,1.924115
104,2022-02-15-11:10:09,2.220454
105,2022-02-15-11:10:10,1.522976
106,2022-02-15-11:10:13,2.822386
107,2022-02-15-11:10:16,2.728394
108,2022-02-15-11:10:18,2.243492
109,2022-02-15-11:10:20,2.226475
110,2022-02-15-11:10:23,2.420040
111,2022-02-15-11:10:25,2.257993
112,2022-02-15-11:10:28,2.732515
113,2022-02-15-11:10:31,2.822525
114,2022-02-15-11:10:33,2.124612
115,2022-02-15-11:10:35,2.228065
116,2022-02-15-11:10:37,1.936139
117,2022-02-15-11:10:38,1.068522
118,2022-02-15-11:10:40,1.732579
119,2022-02-15-11:10:42,1.991355
120,2022-02-15-11:10:43,1.672639
121,2022-02-15-11:10:46,2.206298
122,2022-02-15-11:10:47,1.083530
123,2022-02-15-11:10:49,2.275094
124,2022-02-15-11:10:51,2.100826
125,2022-02-15-11:10:53,2.225094
126,2022-02-15-11:10:56,3.117586
127,2022-02-15-11:11:00,3.500882
128,2022-02-15-11:11:02,1.718937
129,2022-02-15-11:11:03,1.726092
130,2022-02-15-11:11:05,1.865695
131,2022-02-15-11:11:08,2.284880
132,2022-02-15-11:11:10,2.227735
133,2022-02-15-11:11:13,3.551190
134,2022-02-15-11:11:18,4.203016
135,2022-02-15-11:11:22,4.393898
136,2022-02-15-11:11:26,4.368478
137,2022-02-15-11:11:28,1.969171
138,2022-02-15-11:11:31,2.591600
139,2022-02-15-11:11:33,1.670258
140,2022-02-15-11:11:34,1.049920
141,2022-02-15-11:11:35,1.086524
142,2022-02-15-11:11:36,1.054773
143,2022-02-15-11:11:38,1.888431
144,2022-02-15-11:11:39,1.520321
145,2022-02-15-11:11:41,1.518858
146,2022-02-15-11:11:43,1.957226
147,2022-02-15-11:11:45,1.924582
148,2022-02-15-11:11:48,3.092065
