date,init_position,final_position,time
1,2022-01-26-16:36:24,-1,2,8.627407
2,2022-01-26-16:36:26,2,4,1.970050
3,2022-01-26-16:36:28,4,2,1.838902
4,2022-01-26-16:36:32,2,6,3.924966
5,2022-01-26-16:36:34,6,3,2.318678
6,2022-01-26-16:36:37,3,2,3.007978
7,2022-01-26-16:36:40,2,7,2.833355
8,2022-01-26-16:36:45,7,6,4.573986
9,2022-01-26-16:36:48,6,5,3.695626
10,2022-01-26-16:36:50,5,1,2.121739
11,2022-01-26-16:36:53,1,3,3.040405
12,2022-01-26-16:36:56,3,1,2.737018
13,2022-01-26-16:37:00,1,6,3.791069
14,2022-01-26-16:37:04,6,0,3.775140
15,2022-01-26-16:37:08,0,6,4.278098
16,2022-01-26-16:37:12,6,1,4.089052
17,2022-01-26-16:37:15,1,2,2.653314
18,2022-01-26-16:37:17,2,5,2.025778
19,2022-01-26-16:37:20,5,4,3.036554
20,2022-01-26-16:37:22,4,0,2.119942
21,2022-01-26-16:37:25,0,2,2.688070
22,2022-01-26-16:37:27,2,0,2.436625
23,2022-01-26-16:37:29,0,4,1.992892
24,2022-01-26-16:37:32,4,2,2.565437
25,2022-01-26-16:37:34,2,1,2.741665
26,2022-01-26-16:37:37,1,2,2.923512
27,2022-01-26-16:37:41,2,7,3.304209
28,2022-01-26-16:37:45,7,1,4.384289
29,2022-01-26-16:37:48,1,7,2.582486
30,2022-01-26-16:37:50,7,1,2.090626
31,2022-01-26-16:37:53,1,6,3.152252
32,2022-01-26-16:37:57,6,1,4.228524
33,2022-01-26-16:38:00,1,5,3.258039
34,2022-01-26-16:38:04,5,0,3.858350
35,2022-01-26-16:38:06,0,2,2.142821
36,2022-01-26-16:38:10,2,3,4.080350
37,2022-01-26-16:38:15,3,6,4.202813
38,2022-01-26-16:38:21,6,5,6.735071
39,2022-01-26-16:38:26,5,0,4.387751
40,2022-01-26-16:38:28,0,4,2.166994
41,2022-01-26-16:38:30,4,0,2.455234
42,2022-01-26-16:38:32,0,1,1.784316
43,2022-01-26-16:38:36,1,3,3.990310
44,2022-01-26-16:38:40,3,2,3.808625
45,2022-01-26-16:38:42,2,4,2.254161
46,2022-01-26-16:38:45,4,7,3.158356
47,2022-01-26-16:38:50,7,6,5.013399
48,2022-01-26-16:38:55,6,4,4.798001
49,2022-01-26-16:38:59,4,6,3.270853
50,2022-01-26-16:39:02,6,1,3.185445
51,2022-01-26-16:39:05,1,5,3.215665
52,2022-01-26-16:39:08,5,7,3.214064
53,2022-01-26-16:39:14,7,4,5.621081
54,2022-01-26-16:39:17,4,3,2.744052
55,2022-01-26-16:39:21,3,7,4.472432
56,2022-01-26-16:39:24,7,1,3.076654
57,2022-01-26-16:39:28,1,6,3.699556
58,2022-01-26-16:39:32,6,1,4.073557
59,2022-01-26-16:39:34,1,4,2.189266
60,2022-01-26-16:39:37,4,0,2.663112
61,2022-01-26-16:39:40,0,3,3.493011
62,2022-01-26-16:39:43,3,0,2.875368
63,2022-01-26-16:39:46,0,7,2.512514
64,2022-01-26-16:39:50,7,4,4.482161
65,2022-01-26-16:39:55,4,6,4.376939
66,2022-01-26-16:39:58,6,5,3.804202
67,2022-01-26-16:40:01,5,1,3.048111
68,2022-01-26-16:40:04,1,0,2.285837
69,2022-01-26-16:40:06,0,2,2.617473
70,2022-01-26-16:40:10,2,3,3.895844
71,2022-01-26-16:40:14,3,5,4.210137
72,2022-01-26-16:40:18,5,6,3.860355
73,2022-01-26-16:40:24,6,4,5.400977
74,2022-01-26-16:40:26,4,0,2.238515
75,2022-01-26-16:40:28,0,2,2.316799
76,2022-01-26-16:40:30,2,5,1.968175
77,2022-01-26-16:40:34,5,7,3.540761
78,2022-01-26-16:40:38,7,0,3.881247
79,2022-01-26-16:40:41,0,5,3.238349
80,2022-01-26-16:40:45,5,3,3.656522
81,2022-01-26-16:40:50,3,2,5.823319
82,2022-01-26-16:40:54,2,6,3.825653
83,2022-01-26-16:40:59,6,2,5.062123
84,2022-01-26-16:41:02,2,1,2.758912
85,2022-01-26-16:41:04,1,4,1.845020
86,2022-01-26-16:41:06,4,5,2.370598
87,2022-01-26-16:41:09,5,1,2.784283
88,2022-01-26-16:41:11,1,4,2.219290
89,2022-01-26-16:41:14,4,2,2.701977
90,2022-01-26-16:41:19,2,6,5.077037
91,2022-01-26-16:41:24,6,0,4.536028
