iteration,date,executiontime
1,2022-02-15-11:06:02,3.036255
2,2022-02-15-11:06:04,2.224900
3,2022-02-15-11:06:08,3.252612
4,2022-02-15-11:06:11,3.223542
5,2022-02-15-11:06:15,3.890619
6,2022-02-15-11:06:17,2.183251
7,2022-02-15-11:06:20,2.758287
8,2022-02-15-11:06:22,2.682682
9,2022-02-15-11:06:25,2.425292
10,2022-02-15-11:06:27,2.250905
11,2022-02-15-11:06:29,2.214100
12,2022-02-15-11:06:31,1.614095
13,2022-02-15-11:06:34,2.644133
14,2022-02-15-11:06:36,2.864411
15,2022-02-15-11:06:38,1.621189
16,2022-02-15-11:06:40,2.224766
17,2022-02-15-11:06:43,2.192882
18,2022-02-15-11:06:45,2.454191
19,2022-02-15-11:06:46,1.087847
20,2022-02-15-11:06:48,1.586183
21,2022-02-15-11:06:49,1.617398
22,2022-02-15-11:06:52,2.506775
23,2022-02-15-11:06:54,2.521474
24,2022-02-15-11:06:56,2.024737
25,2022-02-15-11:06:59,2.650284
26,2022-02-15-11:07:03,3.587762
27,2022-02-15-11:07:06,3.869474
28,2022-02-15-11:07:07,1.048584
29,2022-02-15-11:07:11,3.741488
30,2022-02-15-11:07:15,3.527684
31,2022-02-15-11:07:16,1.283789
32,2022-02-15-11:07:18,1.727427
33,2022-02-15-11:07:20,1.919918
34,2022-02-15-11:07:22,2.825856
35,2022-02-15-11:07:25,2.922834
36,2022-02-15-11:07:28,2.117113
37,2022-02-15-11:07:30,1.984154
38,2022-02-15-11:07:32,2.053290
39,2022-02-15-11:07:33,1.484783
40,2022-02-15-11:07:35,1.751914
41,2022-02-15-11:07:38,3.131089
42,2022-02-15-11:07:42,3.826897
43,2022-02-15-11:07:43,1.714044
44,2022-02-15-11:07:45,1.323789
45,2022-02-15-11:07:46,1.523923
46,2022-02-15-11:07:48,1.754527
47,2022-02-15-11:07:50,1.635343
48,2022-02-15-11:07:51,1.731283
49,2022-02-15-11:07:53,1.885603
50,2022-02-15-11:07:55,1.523369
51,2022-02-15-11:07:57,1.720366
52,2022-02-15-11:07:58,1.525050
53,2022-02-15-11:08:01,3.247397
54,2022-02-15-11:08:05,3.967444
55,2022-02-15-11:08:07,1.788930
56,2022-02-15-11:08:09,2.005952
57,2022-02-15-11:08:11,1.736553
58,2022-02-15-11:08:12,1.320208
59,2022-02-15-11:08:14,1.516308
60,2022-02-15-11:08:16,2.026632
61,2022-02-15-11:08:19,3.091997
62,2022-02-15-11:08:22,3.244933
63,2022-02-15-11:08:25,2.742969
64,2022-02-15-11:08:27,2.565117
65,2022-02-15-11:08:29,1.717785
66,2022-02-15-11:08:31,1.482824
67,2022-02-15-11:08:34,3.466432
68,2022-02-15-11:08:37,3.238211
69,2022-02-15-11:08:39,1.993651
70,2022-02-15-11:08:41,2.137352
71,2022-02-15-11:08:45,3.137325
72,2022-02-15-11:08:48,3.725630
73,2022-02-15-11:08:50,1.992396
74,2022-02-15-11:08:53,2.587646
