date,init_position,final_position,time
1,2022-01-26-16:36:59,-1,2,6.414516
2,2022-01-26-16:37:01,2,4,2.306169
3,2022-01-26-16:37:04,4,5,2.374308
4,2022-01-26-16:37:07,5,7,3.024885
5,2022-01-26-16:37:10,7,2,3.577534
6,2022-01-26-16:37:13,2,4,2.492535
7,2022-01-26-16:37:18,4,2,4.926745
8,2022-01-26-16:37:20,2,4,2.638513
9,2022-01-26-16:37:25,4,6,4.085468
10,2022-01-26-16:37:28,6,7,3.149175
11,2022-01-26-16:37:31,7,0,3.339088
12,2022-01-26-16:37:33,0,1,1.873196
13,2022-01-26-16:37:36,1,7,2.614177
14,2022-01-26-16:37:38,7,4,2.164314
15,2022-01-26-16:37:40,4,1,1.843752
16,2022-01-26-16:37:42,1,4,1.981759
17,2022-01-26-16:37:44,4,7,2.331101
18,2022-01-26-16:37:46,7,1,2.506699
19,2022-01-26-16:37:49,1,2,2.546258
20,2022-01-26-16:37:52,2,1,2.600531
21,2022-01-26-16:37:54,1,7,1.998800
22,2022-01-26-16:37:55,7,1,1.864909
23,2022-01-26-16:37:58,1,2,2.673802
24,2022-01-26-16:38:01,2,0,2.452435
25,2022-01-26-16:38:03,0,4,2.105237
26,2022-01-26-16:38:12,4,2,9.172092
27,2022-01-26-16:38:14,2,4,2.452263
28,2022-01-26-16:38:23,4,2,8.951560
29,2022-01-26-16:38:26,2,5,2.847582
30,2022-01-26-16:38:29,5,1,3.165300
31,2022-01-26-16:38:34,1,3,4.400818
32,2022-01-26-16:38:39,3,2,5.485044
33,2022-01-26-16:38:41,2,5,2.017477
34,2022-01-26-16:38:45,5,3,3.294249
35,2022-01-26-16:38:49,3,2,4.067868
36,2022-01-26-16:38:52,2,7,3.414959
37,2022-01-26-16:38:55,7,6,3.111008
38,2022-01-26-16:38:59,6,2,4.014149
39,2022-01-26-16:39:01,2,5,2.025714
40,2022-01-26-16:39:04,5,4,2.524152
41,2022-01-26-16:39:06,4,0,2.204452
42,2022-01-26-16:39:08,0,1,1.679993
43,2022-01-26-16:39:11,1,5,3.679551
44,2022-01-26-16:39:14,5,0,2.605650
45,2022-01-26-16:39:17,0,2,2.645727
46,2022-01-26-16:39:20,2,3,3.369580
47,2022-01-26-16:39:23,3,0,3.364728
48,2022-01-26-16:39:26,0,7,2.800688
49,2022-01-26-16:39:31,7,6,4.992453
50,2022-01-26-16:39:35,6,7,3.364025
51,2022-01-26-16:39:38,7,6,3.301591
52,2022-01-26-16:39:43,6,3,5.483558
53,2022-01-26-16:39:46,3,1,2.911061
54,2022-01-26-16:39:50,1,3,3.619367
55,2022-01-26-16:39:53,3,5,3.156841
56,2022-01-26-16:39:57,5,6,3.801325
57,2022-01-26-16:40:01,6,0,4.143291
58,2022-01-26-16:40:03,0,1,1.847563
59,2022-01-26-16:40:07,1,3,3.982746
60,2022-01-26-16:40:12,3,2,5.421106
61,2022-01-26-16:40:16,2,6,3.969483
62,2022-01-26-16:40:21,6,4,4.311892
63,2022-01-26-16:40:23,4,5,2.578889
64,2022-01-26-16:40:27,5,7,3.691192
65,2022-01-26-16:40:31,7,3,3.790241
66,2022-01-26-16:40:33,3,4,2.468853
67,2022-01-26-16:40:35,4,7,2.312248
68,2022-01-26-16:40:38,7,4,2.224003
69,2022-01-26-16:40:42,4,6,4.023923
70,2022-01-26-16:40:46,6,3,4.487894
71,2022-01-26-16:40:50,3,2,4.223099
72,2022-01-26-16:40:53,2,4,2.396648
73,2022-01-26-16:40:58,4,2,5.356197
74,2022-01-26-16:41:04,2,3,5.519447
75,2022-01-26-16:41:08,3,0,4.052813
76,2022-01-26-16:41:11,0,7,3.305282
77,2022-01-26-16:41:14,7,0,2.920900
78,2022-01-26-16:41:16,0,1,1.920252
79,2022-01-26-16:41:19,1,2,2.948849
80,2022-01-26-16:41:21,2,4,2.359378
81,2022-01-26-16:41:23,4,1,2.046141
82,2022-01-26-16:41:25,1,0,1.648694
83,2022-01-26-16:41:28,0,5,2.576849
84,2022-01-26-16:41:30,5,1,2.886495
85,2022-01-26-16:41:34,1,6,3.663125
86,2022-01-26-16:41:38,6,1,3.959577
87,2022-01-26-16:41:41,1,7,2.780415
88,2022-01-26-16:41:44,7,0,2.901256
89,2022-01-26-16:41:48,0,3,3.798579
90,2022-01-26-16:41:50,3,6,2.776711
91,2022-01-26-16:41:54,6,5,3.587667
92,2022-01-26-16:41:58,5,7,3.577051
93,2022-01-26-16:42:02,7,1,4.131803
94,2022-01-26-16:42:06,1,6,4.669715
95,2022-01-26-16:42:10,6,7,3.859989
96,2022-01-26-16:42:13,7,0,2.559272
97,2022-01-26-16:42:15,0,4,1.778953
98,2022-01-26-16:42:19,4,6,4.401812
99,2022-01-26-16:42:25,6,7,5.651252
100,2022-01-26-16:42:29,7,2,3.856851
101,2022-01-26-16:42:31,2,5,2.083395
102,2022-01-26-16:42:35,5,2,4.145045
103,2022-01-26-16:42:40,2,7,5.393835
104,2022-01-26-16:42:43,7,1,2.556246
105,2022-01-26-16:42:46,1,2,3.285458
106,2022-01-26-16:42:50,2,6,4.320161
107,2022-01-26-16:42:54,6,5,3.659308
108,2022-01-26-16:42:57,5,4,2.586088
109,2022-01-26-16:43:01,4,6,4.004699
110,2022-01-26-16:43:06,6,7,5.130735
111,2022-01-26-16:43:09,7,3,3.191438
112,2022-01-26-16:43:11,3,4,2.434628
113,2022-01-26-16:43:14,4,0,2.103184
114,2022-01-26-16:43:17,0,5,3.012303
115,2022-01-26-16:43:19,5,0,2.669600
116,2022-01-26-16:43:22,0,2,2.463823
117,2022-01-26-16:43:26,2,3,4.125450
118,2022-01-26-16:43:29,3,1,2.923541
119,2022-01-26-16:43:32,1,5,3.254193
120,2022-01-26-16:43:35,5,7,3.212569
121,2022-01-26-16:43:39,7,4,4.239043
122,2022-01-26-16:43:42,4,2,2.570873
123,2022-01-26-16:43:45,2,7,3.304473
124,2022-01-26-16:43:49,7,2,3.595043
125,2022-01-26-16:43:54,2,5,4.626846
126,2022-01-26-16:43:57,5,7,3.280842
127,2022-01-26-16:44:02,7,4,5.176714
128,2022-01-26-16:44:06,4,5,3.955573
129,2022-01-26-16:44:10,5,3,3.974224
130,2022-01-26-16:44:13,3,1,3.207851
131,2022-01-26-16:44:17,1,6,3.261441
132,2022-01-26-16:44:21,6,0,4.766035
133,2022-01-26-16:44:23,0,4,1.788047
134,2022-01-26-16:44:28,4,2,5.048056
135,2022-01-26-16:44:32,2,6,3.671882
136,2022-01-26-16:44:36,6,4,4.455616
137,2022-01-26-16:44:39,4,5,2.987296
138,2022-01-26-16:44:43,5,1,3.619950
139,2022-01-26-16:44:45,1,0,1.612697
140,2022-01-26-16:44:47,0,5,2.727753
141,2022-01-26-16:44:51,5,3,3.276856
142,2022-01-26-16:44:55,3,1,4.129741
143,2022-01-26-16:44:57,1,2,2.538386
144,2022-01-26-16:45:00,2,0,2.610597
145,2022-01-26-16:45:03,0,3,3.446567
146,2022-01-26-16:45:07,3,1,3.452625
147,2022-01-26-16:45:12,1,6,4.949914
148,2022-01-26-16:45:15,6,2,3.755863
149,2022-01-26-16:45:18,2,5,2.262012
150,2022-01-26-16:45:22,5,0,4.373743
151,2022-01-26-16:45:25,0,5,3.073890
152,2022-01-26-16:45:30,5,3,5.248238
153,2022-01-26-16:45:34,3,5,3.342681
154,2022-01-26-16:45:36,5,1,2.636812
155,2022-01-26-16:45:40,1,6,3.992970
