date,init_position,final_position,time
1,2022-01-26-16:37:03,-1,1,6.285796
2,2022-01-26-16:37:05,1,0,1.538415
3,2022-01-26-16:37:07,0,5,2.800367
4,2022-01-26-16:37:12,5,4,4.358252
5,2022-01-26-16:37:17,4,5,5.262881
6,2022-01-26-16:37:21,5,2,4.164216
7,2022-01-26-16:37:27,2,3,5.369052
8,2022-01-26-16:37:29,3,7,2.634116
9,2022-01-26-16:37:33,7,6,3.760568
10,2022-01-26-16:37:37,6,2,3.750295
11,2022-01-26-16:37:39,2,0,2.336941
12,2022-01-26-16:37:42,0,5,3.309160
13,2022-01-26-16:37:45,5,0,2.709238
14,2022-01-26-16:37:48,0,5,2.911219
15,2022-01-26-16:37:51,5,7,3.387541
16,2022-01-26-16:37:55,7,6,2.949334
17,2022-01-26-16:37:58,6,2,3.486278
18,2022-01-26-16:38:03,2,6,4.623668
19,2022-01-26-16:38:08,6,1,5.594680
20,2022-01-26-16:38:13,1,6,4.525174
21,2022-01-26-16:38:18,6,1,4.780583
22,2022-01-26-16:38:23,1,5,5.369606
23,2022-01-26-16:38:26,5,0,2.766929
24,2022-01-26-16:38:28,0,4,2.197836
25,2022-01-26-16:38:31,4,7,2.833126
26,2022-01-26-16:38:33,7,1,2.120914
27,2022-01-26-16:38:35,1,0,1.687178
28,2022-01-26-16:38:40,0,3,4.974990
29,2022-01-26-16:38:44,3,0,4.072411
30,2022-01-26-16:38:47,0,5,3.037574
31,2022-01-26-16:38:50,5,7,3.423914
32,2022-01-26-16:38:54,7,6,3.338582
33,2022-01-26-16:38:58,6,3,4.542707
34,2022-01-26-16:39:03,3,6,4.758716
35,2022-01-26-16:39:08,6,5,4.710916
36,2022-01-26-16:39:11,5,6,3.672026
37,2022-01-26-16:39:15,6,3,3.992989
38,2022-01-26-16:39:19,3,5,4.013798
39,2022-01-26-16:39:23,5,2,4.289537
40,2022-01-26-16:39:29,2,1,5.594614
41,2022-01-26-16:39:32,1,2,2.546850
42,2022-01-26-16:39:35,2,3,3.232817
43,2022-01-26-16:39:40,3,2,5.133885
44,2022-01-26-16:39:44,2,6,4.019217
45,2022-01-26-16:39:48,6,4,4.097593
46,2022-01-26-16:39:51,4,3,2.674343
47,2022-01-26-16:39:54,3,7,3.699492
48,2022-01-26-16:39:58,7,0,3.804732
49,2022-01-26-16:40:01,0,2,2.264523
50,2022-01-26-16:40:03,2,5,2.402691
51,2022-01-26-16:40:06,5,3,3.310417
52,2022-01-26-16:40:09,3,7,2.391452
53,2022-01-26-16:40:12,7,5,3.608176
54,2022-01-26-16:40:15,5,7,3.112147
55,2022-01-26-16:40:19,7,5,3.713617
56,2022-01-26-16:40:21,5,1,2.372992
57,2022-01-26-16:40:23,1,0,1.552040
58,2022-01-26-16:40:28,0,3,5.155871
59,2022-01-26-16:40:33,3,1,4.551134
60,2022-01-26-16:40:35,1,4,2.034469
61,2022-01-26-16:40:39,4,6,3.990313
62,2022-01-26-16:40:43,6,4,4.147243
63,2022-01-26-16:40:46,4,5,2.702120
64,2022-01-26-16:40:49,5,1,3.044637
65,2022-01-26-16:40:51,1,7,2.045951
66,2022-01-26-16:40:54,7,2,3.163321
67,2022-01-26-16:40:56,2,5,2.227521
68,2022-01-26-16:41:01,5,2,4.828932
69,2022-01-26-16:41:04,2,3,3.347097
70,2022-01-26-16:41:09,3,2,4.527320
71,2022-01-26-16:41:12,2,6,3.462323
72,2022-01-26-16:41:16,6,5,3.884526
73,2022-01-26-16:41:19,5,0,2.858414
74,2022-01-26-16:41:23,0,3,3.813639
75,2022-01-26-16:41:26,3,5,2.763719
76,2022-01-26-16:41:29,5,3,3.573203
77,2022-01-26-16:41:33,3,6,4.174333
78,2022-01-26-16:41:37,6,1,4.065996
79,2022-01-26-16:41:41,1,5,3.785279
80,2022-01-26-16:41:45,5,7,3.595999
81,2022-01-26-16:41:48,7,6,3.454392
